"","County","AGEGROUP","AGEGROUPMIN","AGEGROUPMAX","POP"
"677","Skamania County","4",15,19,"629"
"678","Skamania County","5",20,24,"501"
"679","Skamania County","6",25,29,"612"
"680","Skamania County","7",30,34,"642"
"681","Skamania County","8",35,39,"726"
"682","Skamania County","9",40,44,"735"
"683","Skamania County","10",45,49,"768"
"684","Skamania County","11",50,54,"788"
"685","Skamania County","12",55,59,"1075"
"686","Skamania County","13",60,64,"1115"
"687","Skamania County","14",65,69,"962"
"688","Skamania County","15",70,74,"738"
"689","Skamania County","16",75,79,"455"
"690","Skamania County","17",80,84,"239"
"691","Skamania County","18",85,Inf,"282"
"692","Skamania County","19",0,17,"2216"
"693","Skamania County","20",5,13,"1167"
"694","Skamania County","21",14,17,"528"
"695","Skamania County","22",18,64,"7191"
"696","Skamania County","23",18,24,"730"
"697","Skamania County","24",25,44,"2715"
"698","Skamania County","25",45,64,"3746"
"699","Skamania County","26",65,Inf,"2676"
"700","Skamania County","27",85,Inf,"282"
"701","Skamania County","28",16,Inf,"10155"
"702","Skamania County","29",18,Inf,"9867"
"703","Skamania County","30",15,44,"3845"
"704","Skamania County","31",NA,NA,"47.7"
"705","Whitman County","0",0,Inf,"50104"
"706","Whitman County","1",0,4,"2077"
"707","Whitman County","2",5,9,"2103"
"708","Whitman County","3",10,14,"2032"
"709","Whitman County","4",15,19,"6510"
"710","Whitman County","5",20,24,"12129"
"711","Whitman County","6",25,29,"4337"
"712","Whitman County","7",30,34,"2833"
"713","Whitman County","8",35,39,"2505"
"714","Whitman County","9",40,44,"2139"
"715","Whitman County","10",45,49,"1875"
"716","Whitman County","11",50,54,"1839"
"717","Whitman County","12",55,59,"2166"
"718","Whitman County","13",60,64,"2187"
"719","Whitman County","14",65,69,"1752"
"720","Whitman County","15",70,74,"1341"
"721","Whitman County","16",75,79,"994"
"722","Whitman County","17",80,84,"600"
"723","Whitman County","18",85,Inf,"685"
"724","Whitman County","19",0,17,"7517"
"725","Whitman County","20",5,13,"3711"
"726","Whitman County","21",14,17,"1729"
"727","Whitman County","22",18,64,"37215"
"728","Whitman County","23",18,24,"17334"
"729","Whitman County","24",25,44,"11814"
"730","Whitman County","25",45,64,"8067"
"731","Whitman County","26",65,Inf,"5372"
"732","Whitman County","27",85,Inf,"685"
"733","Whitman County","28",16,Inf,"43485"
"734","Whitman County","29",18,Inf,"42587"
"735","Whitman County","30",15,44,"30453"
"736","Whitman County","31",NA,NA,"25.2"
"737","Yakima County","0",0,Inf,"250873"
"738","Yakima County","1",0,4,"19658"
"739","Yakima County","2",5,9,"21126"
"740","Yakima County","3",10,14,"21139"
"741","Yakima County","4",15,19,"19016"
"742","Yakima County","5",20,24,"16600"
"743","Yakima County","6",25,29,"18076"
"744","Yakima County","7",30,34,"15988"
"745","Yakima County","8",35,39,"15458"
"746","Yakima County","9",40,44,"14262"
"747","Yakima County","10",45,49,"13949"
"748","Yakima County","11",50,54,"13286"
"749","Yakima County","12",55,59,"14043"
"750","Yakima County","13",60,64,"13059"
"751","Yakima County","14",65,69,"11347"
"752","Yakima County","15",70,74,"9104"
"753","Yakima County","16",75,79,"6337"
"754","Yakima County","17",80,84,"4092"
"755","Yakima County","18",85,Inf,"4333"
"756","Yakima County","19",0,17,"73950"
"757","Yakima County","20",5,13,"38188"
"758","Yakima County","21",14,17,"16104"
"759","Yakima County","22",18,64,"141710"
"760","Yakima County","23",18,24,"23589"
"761","Yakima County","24",25,44,"63784"
"762","Yakima County","25",45,64,"54337"
"763","Yakima County","26",65,Inf,"35213"
"764","Yakima County","27",85,Inf,"4333"
"765","Yakima County","28",16,Inf,"184861"
"766","Yakima County","29",18,Inf,"176923"
"767","Yakima County","30",15,44,"99400"
"768","Yakima County","31",NA,NA,"33"
"769","Clallam County","0",0,Inf,"77331"
"770","Clallam County","1",0,4,"3360"
"771","Clallam County","2",5,9,"3787"
"772","Clallam County","3",10,14,"3594"
"773","Clallam County","4",15,19,"3454"
"774","Clallam County","5",20,24,"3481"
"775","Clallam County","6",25,29,"4019"
"776","Clallam County","8",35,39,"4158"
"777","Clallam County","9",40,44,"3758"
"778","Clallam County","10",45,49,"3608"
"779","Clallam County","11",50,54,"3981"
"780","Clallam County","12",55,59,"5481"
"781","Clallam County","13",60,64,"6852"
"782","Clallam County","14",65,69,"7563"
"783","Clallam County","15",70,74,"6218"
"784","Clallam County","16",75,79,"4447"
"785","Clallam County","17",80,84,"2673"
"786","Clallam County","18",85,Inf,"2653"
"787","Clallam County","19",0,17,"12945"
"788","Clallam County","20",5,13,"6679"
"789","Clallam County","21",14,17,"2906"
"790","Clallam County","22",18,64,"40832"
"791","Clallam County","23",18,24,"4731"
"792","Clallam County","24",25,44,"16179"
"793","Clallam County","25",45,64,"19922"
"794","Clallam County","26",65,Inf,"23554"
"795","Clallam County","27",85,Inf,"2653"
"796","Clallam County","28",16,Inf,"65853"
"797","Clallam County","29",18,Inf,"64386"
"798","Clallam County","30",15,44,"23114"
"799","Clallam County","31",NA,NA,"51.5"
"800","Cowlitz County","0",0,Inf,"110593"
"801","Cowlitz County","1",0,4,"6746"
"802","Cowlitz County","2",5,9,"6980"
"803","Cowlitz County","3",10,14,"7194"
"804","Cowlitz County","4",15,19,"6621"
"805","Cowlitz County","5",20,24,"5900"
"806","Cowlitz County","6",25,29,"7205"
"807","Cowlitz County","7",30,34,"6806"
"808","Cowlitz County","8",35,39,"6566"
"809","Cowlitz County","9",40,44,"6432"
"810","Cowlitz County","10",45,49,"6561"
"811","Cowlitz County","11",50,54,"6706"
"812","Cowlitz County","12",55,59,"7649"
"813","Cowlitz County","13",60,64,"7848"
"814","Cowlitz County","14",65,69,"6937"
"815","Cowlitz County","15",70,74,"5879"
"816","Cowlitz County","16",75,79,"3974"
"817","Cowlitz County","17",80,84,"2348"
"818","Cowlitz County","18",85,Inf,"2241"
"819","Cowlitz County","19",0,17,"25168"
"820","Cowlitz County","20",5,13,"12748"
"821","Cowlitz County","21",14,17,"5674"
"822","Cowlitz County","22",18,64,"64046"
"823","Cowlitz County","23",18,24,"8273"
"824","Cowlitz County","24",25,44,"27009"
"825","Cowlitz County","25",45,64,"28764"
"826","Cowlitz County","26",65,Inf,"21379"
"827","Cowlitz County","27",85,Inf,"2241"
"828","Cowlitz County","28",16,Inf,"88326"
"829","Cowlitz County","29",18,Inf,"85425"
"830","Cowlitz County","30",15,44,"39530"
"831","Cowlitz County","31",NA,NA,"41"
"832","Ferry County","0",0,Inf,"7627"
"833","Ferry County","1",0,4,"338"
"834","Ferry County","2",5,9,"371"
"835","Ferry County","3",10,14,"322"
"836","Ferry County","4",15,19,"426"
"837","Ferry County","5",20,24,"378"
"838","Ferry County","6",25,29,"327"
"839","Ferry County","7",30,34,"314"
"840","Ferry County","8",35,39,"350"
"841","Ferry County","9",40,44,"420"
"842","Ferry County","10",45,49,"428"
"843","Ferry County","11",50,54,"455"
"844","Ferry County","12",55,59,"611"
"845","Ferry County","13",60,64,"733"
"846","Ferry County","14",65,69,"775"
"847","Ferry County","15",70,74,"587"
"848","Ferry County","16",75,79,"414"
"849","Ferry County","17",80,84,"196"
"850","Ferry County","18",85,Inf,"182"
"851","Ferry County","19",0,17,"1254"
"852","Ferry County","20",5,13,"636"
"853","Ferry County","21",14,17,"280"
"854","Ferry County","22",18,64,"4219"
"855","Ferry County","23",18,24,"581"
"856","Ferry County","24",25,44,"1411"
"857","Ferry County","25",45,64,"2227"
"858","Ferry County","26",65,Inf,"2154"
"859","Ferry County","27",85,Inf,"182"
"860","Ferry County","28",16,Inf,"6527"
"861","Ferry County","29",18,Inf,"6373"
"862","Ferry County","30",15,44,"2215"
"863","Ferry County","31",NA,NA,"51.4"
"864","Klickitat County","0",0,Inf,"22425"
"865","Klickitat County","1",0,4,"1114"
"866","Klickitat County","2",5,9,"1182"
"867","Klickitat County","3",10,14,"1255"
"868","Klickitat County","4",15,19,"1140"
"869","Klickitat County","5",20,24,"939"
"870","Klickitat County","6",25,29,"1125"
"871","Klickitat County","7",30,34,"1255"
"872","Klickitat County","8",35,39,"1333"
"873","Klickitat County","10",45,49,"1374"
"874","Klickitat County","11",50,54,"1350"
"875","Klickitat County","12",55,59,"1676"
"876","Klickitat County","13",60,64,"1887"
"877","Klickitat County","14",65,69,"1927"
"878","Klickitat County","16",75,79,"1014"
"879","Klickitat County","17",80,84,"556"
"880","Klickitat County","18",85,Inf,"494"
"881","Klickitat County","19",0,17,"4285"
"882","Klickitat County","20",5,13,"2182"
"883","Klickitat County","21",14,17,"989"
"884","Klickitat County","22",18,64,"12640"
"885","Klickitat County","23",18,24,"1345"
"886","Klickitat County","24",25,44,"5008"
"887","Klickitat County","25",45,64,"6287"
"888","Klickitat County","26",65,Inf,"5500"
"889","Klickitat County","27",85,Inf,"494"
"890","Klickitat County","28",16,Inf,"18637"
"891","Klickitat County","29",18,Inf,"18140"
"892","Klickitat County","30",15,44,"7087"
"893","Klickitat County","31",NA,NA,"47.1"
"894","Lewis County","0",0,Inf,"80707"
"895","Lewis County","1",0,4,"4760"
"896","Lewis County","2",5,9,"4766"
"897","Lewis County","3",10,14,"4784"
"898","Lewis County","4",15,19,"4579"
"899","Lewis County","5",20,24,"4158"
"900","Lewis County","6",25,29,"4989"
"901","Lewis County","7",30,34,"4883"
"902","Lewis County","8",35,39,"4799"
"903","Lewis County","9",40,44,"4519"
"904","Lewis County","10",45,49,"4643"
"905","Lewis County","11",50,54,"4725"
"906","Lewis County","12",55,59,"5845"
"907","Lewis County","13",60,64,"6057"
"908","Lewis County","14",65,69,"5695"
"909","Lewis County","15",70,74,"4604"
"910","Lewis County","16",75,79,"3225"
"911","Lewis County","17",80,84,"1972"
"912","Lewis County","18",85,Inf,"1704"
"913","Lewis County","19",0,17,"17208"
"914","Lewis County","20",5,13,"8595"
"915","Lewis County","21",14,17,"3853"
"916","Lewis County","22",18,64,"46299"
"917","Lewis County","23",18,24,"5839"
"918","Lewis County","24",25,44,"19190"
"919","Lewis County","25",45,64,"21270"
"920","Lewis County","26",65,Inf,"17200"
"921","Lewis County","27",85,Inf,"1704"
"922","Lewis County","28",16,Inf,"65439"
"923","Lewis County","29",18,Inf,"63499"
"924","Lewis County","30",15,44,"27927"
"925","Lewis County","31",NA,NA,"42.8"
"926","Douglas County","0",0,Inf,"43429"
"927","Douglas County","1",0,4,"2841"
"928","Douglas County","2",5,9,"3149"
"929","Douglas County","3",10,14,"3338"
"930","Douglas County","4",15,19,"2903"
"931","Douglas County","5",20,24,"2459"
"932","Douglas County","6",25,29,"2724"
"933","Douglas County","7",30,34,"2657"
"934","Douglas County","8",35,39,"2780"
"935","Douglas County","9",40,44,"2425"
"936","Douglas County","10",45,49,"2484"
"937","Douglas County","11",50,54,"2366"
"938","Douglas County","12",55,59,"2738"
"939","Douglas County","13",60,64,"2680"
"940","Douglas County","14",65,69,"2427"
"941","Douglas County","15",70,74,"2124"
"942","Douglas County","16",75,79,"1491"
"943","Douglas County","17",80,84,"920"
"944","Douglas County","18",85,Inf,"923"
"945","Douglas County","19",0,17,"11183"
"946","Douglas County","20",5,13,"5858"
"947","Douglas County","21",14,17,"2484"
"948","Douglas County","22",18,64,"24361"
"949","Douglas County","23",18,24,"3507"
"950","Douglas County","24",25,44,"10586"
"951","Douglas County","25",45,64,"10268"
"952","Douglas County","26",65,Inf,"7885"
"953","Douglas County","27",85,Inf,"923"
"954","Douglas County","28",16,Inf,"33506"
"955","Douglas County","29",18,Inf,"32246"
"956","Douglas County","30",15,44,"15948"
"957","Douglas County","31",NA,NA,"38"
"958","Grays Harbor County","0",0,Inf,"75061"
"959","Grays Harbor County","1",0,4,"3928"
"960","Grays Harbor County","2",5,9,"4334"
"961","Grays Harbor County","3",10,14,"4459"
"962","Grays Harbor County","4",15,19,"3922"
"963","Grays Harbor County","5",20,24,"3793"
"964","Grays Harbor County","6",25,29,"4482"
"965","Grays Harbor County","7",30,34,"4398"
"966","Grays Harbor County","8",35,39,"4398"
"967","Grays Harbor County","9",40,44,"4244"
"968","Grays Harbor County","10",45,49,"4245"
"969","Grays Harbor County","11",50,54,"4591"
"970","Grays Harbor County","12",55,59,"5409"
"971","Grays Harbor County","13",60,64,"6116"
"972","Grays Harbor County","14",65,69,"5819"
"973","Grays Harbor County","15",70,74,"4566"
"974","Grays Harbor County","16",75,79,"2951"
"975","Grays Harbor County","17",80,84,"1784"
"976","Grays Harbor County","18",85,Inf,"1622"
"977","Grays Harbor County","25",45,64,"20361"
"978","Clallam County","7",30,34,"4244"
"979","Klickitat County","9",40,44,"1295"
"980","Klickitat County","15",70,74,"1509"
"981","Grays Harbor County","19",0,17,"15274"
"982","Grays Harbor County","20",5,13,"7914"
"983","Grays Harbor County","21",14,17,"3432"
"984","Grays Harbor County","22",18,64,"43045"
"985","Grays Harbor County","23",18,24,"5162"
"986","Grays Harbor County","24",25,44,"17522"
"987","Grays Harbor County","26",65,Inf,"16742"
"988","Grays Harbor County","27",85,Inf,"1622"
"989","Grays Harbor County","28",16,Inf,"61512"
"990","Grays Harbor County","29",18,Inf,"59787"
"991","Grays Harbor County","30",15,44,"25237"
"992","Grays Harbor County","31",NA,NA,"44.5"
"993","Island County","0",0,Inf,"85141"
"994","Island County","1",0,4,"4737"
"995","Island County","2",5,9,"4461"
"996","Island County","3",10,14,"3913"
"997","Island County","4",15,19,"3786"
"998","Island County","5",20,24,"5689"
"999","Island County","6",25,29,"6360"
"1000","Island County","7",30,34,"5623"
"1001","Island County","8",35,39,"4981"
"1002","Island County","9",40,44,"3971"
"1003","Island County","10",45,49,"3842"
"1004","Island County","11",50,54,"4385"
"1005","Island County","12",55,59,"5516"
"1006","Island County","13",60,64,"6404"
"1007","Island County","14",65,69,"7003"
"1008","Island County","15",70,74,"6137"
"1009","Island County","16",75,79,"4007"
"1010","Island County","17",80,84,"2243"
"1011","Island County","18",85,Inf,"2083"
"1012","Island County","19",0,17,"15375"
"1013","Island County","20",5,13,"7621"
"1014","Island County","21",14,17,"3017"
"1015","Island County","22",18,64,"48293"
"1016","Island County","23",18,24,"7211"
"1017","Island County","24",25,44,"20935"
"1018","Island County","25",45,64,"20147"
"1019","Island County","26",65,Inf,"21473"
"1020","Island County","27",85,Inf,"2083"
"1021","Island County","28",16,Inf,"71289"
"1022","Island County","29",18,Inf,"69766"
"1023","Island County","30",15,44,"30410"
"1024","Island County","31",NA,NA,"43.8"
"1025","Pierce County","0",0,Inf,"904980"
"1026","Pierce County","1",0,4,"59483"
"1027","Pierce County","2",5,9,"60043"
"1028","Pierce County","3",10,14,"58121"
"1029","Pierce County","4",15,19,"53504"
"1030","Pierce County","5",20,24,"60504"
"1031","Pierce County","6",25,29,"73161"
"1032","Pierce County","7",30,34,"68955"
"1033","Pierce County","8",35,39,"66287"
"1034","Pierce County","9",40,44,"56041"
"1035","Pierce County","10",45,49,"54595"
"1036","Pierce County","11",50,54,"54416"
"1037","Pierce County","12",55,59,"57766"
"1038","Pierce County","13",60,64,"53696"
"1039","Pierce County","14",65,69,"43927"
"1040","Pierce County","15",70,74,"34109"
"1041","Pierce County","16",75,79,"22664"
"1042","Pierce County","17",80,84,"13725"
"1043","Pierce County","18",85,Inf,"13983"
"1044","Pierce County","19",0,17,"210453"
"1045","Pierce County","20",5,13,"106890"
"1046","Pierce County","21",14,17,"44080"
"1047","Pierce County","22",18,64,"566119"
"1048","Pierce County","23",18,24,"81202"
"1049","Pierce County","24",25,44,"264444"
"1050","Pierce County","25",45,64,"220473"
"1051","Pierce County","26",65,Inf,"128408"
"1052","Pierce County","27",85,Inf,"13983"
"1053","Pierce County","28",16,Inf,"716150"
"1054","Pierce County","29",18,Inf,"694527"
"1055","Pierce County","30",15,44,"378452"
"1056","Pierce County","31",NA,NA,"36.4"
"1057","Wahkiakum County","0",0,Inf,"4488"
"1058","Wahkiakum County","1",0,4,"156"
"1059","Wahkiakum County","2",5,9,"224"
"1060","Wahkiakum County","3",10,14,"229"
"1061","Wahkiakum County","4",15,19,"246"
"1062","Wahkiakum County","5",20,24,"185"
"1063","Wahkiakum County","6",25,29,"164"
"1064","Wahkiakum County","7",30,34,"174"
"1065","Wahkiakum County","8",35,39,"201"
"1066","Wahkiakum County","9",40,44,"192"
"1067","Wahkiakum County","10",45,49,"214"
"1068","Wahkiakum County","11",50,54,"265"
"1069","Wahkiakum County","12",55,59,"356"
"1070","Wahkiakum County","13",60,64,"401"
"1071","Wahkiakum County","14",65,69,"454"
"1072","Wahkiakum County","15",70,74,"426"
"1073","Wahkiakum County","16",75,79,"303"
"1074","Wahkiakum County","17",80,84,"152"
"1075","Wahkiakum County","18",85,Inf,"146"
"1076","Wahkiakum County","22",18,64,"2239"
"1077","Wahkiakum County","19",0,17,"768"
"1078","Wahkiakum County","20",5,13,"398"
"1079","Wahkiakum County","21",14,17,"214"
"1080","Wahkiakum County","23",18,24,"272"
"1081","Wahkiakum County","24",25,44,"731"
"1082","Wahkiakum County","25",45,64,"1236"
"1083","Wahkiakum County","26",65,Inf,"1481"
"1084","Wahkiakum County","27",85,Inf,"146"
"1085","Wahkiakum County","28",16,Inf,"3828"
"1086","Wahkiakum County","29",18,Inf,"3720"
"1087","Wahkiakum County","30",15,44,"1162"
"1088","Wahkiakum County","31",NA,NA,"54.9"
"1089","Franklin County","0",0,Inf,"95222"
"1090","Franklin County","1",0,4,"8315"
"1091","Franklin County","2",5,9,"8657"
"1092","Franklin County","3",10,14,"8698"
"1093","Franklin County","4",15,19,"7546"
"1094","Franklin County","5",20,24,"6361"
"1095","Franklin County","6",25,29,"7145"
"1096","Franklin County","7",30,34,"7352"
"1097","Franklin County","8",35,39,"7159"
"1098","Franklin County","9",40,44,"6231"
"1099","Franklin County","10",45,49,"5377"
"1100","Franklin County","11",50,54,"4708"
"1101","Franklin County","12",55,59,"4386"
"1102","Franklin County","13",60,64,"4095"
"1103","Franklin County","14",65,69,"3457"
"1104","Franklin County","15",70,74,"2465"
"1105","Franklin County","16",75,79,"1574"
"1106","Franklin County","17",80,84,"906"
"1107","Franklin County","18",85,Inf,"790"
"1108","Franklin County","19",0,17,"30503"
"1109","Franklin County","20",5,13,"15626"
"1110","Franklin County","21",14,17,"6562"
"1111","Franklin County","22",18,64,"55527"
"1112","Franklin County","23",18,24,"9074"
"1113","Franklin County","24",25,44,"27887"
"1114","Franklin County","25",45,64,"18566"
"1115","Franklin County","26",65,Inf,"9192"
"1116","Franklin County","27",85,Inf,"790"
"1117","Franklin County","28",16,Inf,"67929"
"1118","Franklin County","29",18,Inf,"64719"
"1119","Franklin County","30",15,44,"41794"
"1120","Franklin County","31",NA,NA,"30.6"
"1121","Walla Walla County","0",0,Inf,"60760"
"1122","Walla Walla County","1",0,4,"3203"
"1123","Walla Walla County","2",5,9,"3497"
"1124","Walla Walla County","3",10,14,"3655"
"1125","Walla Walla County","5",20,24,"5301"
"1126","Walla Walla County","6",25,29,"4041"
"1127","Walla Walla County","7",30,34,"3766"
"1128","Walla Walla County","8",35,39,"3771"
"1129","Walla Walla County","9",40,44,"3295"
"1130","Walla Walla County","10",45,49,"3288"
"1131","Walla Walla County","11",50,54,"3404"
"1132","Walla Walla County","12",55,59,"3659"
"1133","Walla Walla County","13",60,64,"3866"
"1134","Walla Walla County","14",65,69,"3539"
"1135","Walla Walla County","15",70,74,"2860"
"1136","Walla Walla County","16",75,79,"2015"
"1137","Walla Walla County","17",80,84,"1268"
"1138","Walla Walla County","18",85,Inf,"1682"
"1139","Walla Walla County","19",0,17,"12558"
"1140","Walla Walla County","20",5,13,"6422"
"1141","Walla Walla County","21",14,17,"2933"
"1142","Walla Walla County","22",18,64,"36838"
"1143","Walla Walla County","23",18,24,"7748"
"1144","Walla Walla County","24",25,44,"14873"
"1145","Walla Walla County","25",45,64,"14217"
"1146","Walla Walla County","26",65,Inf,"11364"
"1147","Walla Walla County","27",85,Inf,"1682"
"1148","Walla Walla County","28",16,Inf,"49644"
"1149","Walla Walla County","29",18,Inf,"48202"
"1150","Walla Walla County","30",15,44,"24824"
"1151","Walla Walla County","31",NA,NA,"38"
"1152","Grant County","0",0,Inf,"97733"
"1153","Grant County","1",0,4,"7535"
"1154","Grant County","2",5,9,"8144"
"1155","Grant County","3",10,14,"8376"
"1156","Grant County","4",15,19,"7246"
"1157","Grant County","5",20,24,"6370"
"1158","Grant County","6",25,29,"7139"
"1159","Grant County","7",30,34,"6345"
"1160","Grant County","8",35,39,"5978"
"1161","Grant County","9",40,44,"5512"
"1162","Grant County","10",45,49,"5384"
"1163","Grant County","11",50,54,"5061"
"1164","Grant County","12",55,59,"5582"
"1165","Grant County","13",60,64,"5331"
"1166","Grant County","14",65,69,"4557"
"1167","Grant County","15",70,74,"3741"
"1168","Grant County","16",75,79,"2459"
"1169","Grant County","17",80,84,"1450"
"1170","Grant County","18",85,Inf,"1523"
"1171","Grant County","19",0,17,"28657"
"1172","Grant County","20",5,13,"14898"
"1173","Grant County","21",14,17,"6224"
"1174","Grant County","22",18,64,"55346"
"1175","Grant County","23",18,24,"9014"
"1176","Grant County","24",25,44,"24974"
"1177","Grant County","25",45,64,"21358"
"1178","Grant County","26",65,Inf,"13730"
"1179","Grant County","27",85,Inf,"1523"
"1180","Grant County","28",16,Inf,"72077"
"1181","Grant County","29",18,Inf,"69076"
"1182","Grant County","30",15,44,"38590"
"1183","Grant County","31",NA,NA,"33.2"
"1184","Whatcom County","0",0,Inf,"229247"
"1185","Whatcom County","1",0,4,"11768"
"1186","Whatcom County","2",5,9,"12521"
"1187","Whatcom County","3",10,14,"12423"
"1188","Whatcom County","4",15,19,"14939"
"1189","Whatcom County","5",20,24,"23668"
"1190","Whatcom County","6",25,29,"17222"
"1191","Whatcom County","7",30,34,"14306"
"1192","Whatcom County","8",35,39,"14775"
"1193","Whatcom County","9",40,44,"13090"
"1194","Whatcom County","10",45,49,"12823"
"1195","Whatcom County","11",50,54,"12661"
"1196","Whatcom County","12",55,59,"13773"
"1197","Whatcom County","13",60,64,"14073"
"1198","Whatcom County","14",65,69,"13880"
"1199","Whatcom County","15",70,74,"11481"
"1200","Whatcom County","16",75,79,"7239"
"1201","Whatcom County","17",80,84,"4284"
"1202","Whatcom County","18",85,Inf,"4321"
"1203","Whatcom County","19",0,17,"43954"
"1204","Whatcom County","20",5,13,"22508"
"1205","Whatcom County","21",14,17,"9678"
"1206","Whatcom County","22",18,64,"144088"
"1207","Whatcom County","23",18,24,"31365"
"1208","Whatcom County","24",25,44,"59393"
"1209","Whatcom County","25",45,64,"53330"
"1210","Whatcom County","26",65,Inf,"41205"
"1211","Whatcom County","27",85,Inf,"4321"
"1212","Whatcom County","28",16,Inf,"190154"
"1213","Snohomish County","0",0,Inf,"822083"
"1214","Snohomish County","1",0,4,"51997"
"1215","Snohomish County","2",5,9,"50903"
"1216","Snohomish County","3",10,14,"51283"
"1217","Snohomish County","5",20,24,"45568"
"1218","Snohomish County","6",25,29,"59190"
"1219","Snohomish County","7",30,34,"64357"
"1220","Snohomish County","9",40,44,"54852"
"1221","Snohomish County","10",45,49,"54326"
"1222","Snohomish County","11",50,54,"53984"
"1223","Snohomish County","12",55,59,"57668"
"1224","Snohomish County","13",60,64,"52272"
"1225","Snohomish County","14",65,69,"41227"
"1226","Snohomish County","15",70,74,"30426"
"1227","Snohomish County","16",75,79,"19095"
"1228","Snohomish County","17",80,84,"11891"
"1229","Snohomish County","18",85,Inf,"12193"
"1230","Snohomish County","19",0,17,"184110"
"1231","Snohomish County","20",5,13,"92145"
"1232","Snohomish County","21",14,17,"39968"
"1233","Snohomish County","22",18,64,"523141"
"1234","Snohomish County","23",18,24,"62092"
"1235","Snohomish County","24",25,44,"242799"
"1236","Snohomish County","25",45,64,"218250"
"1237","Snohomish County","26",65,Inf,"114832"
"1238","Snohomish County","27",85,Inf,"12193"
"1239","Snohomish County","28",16,Inf,"657740"
"1240","Snohomish County","29",18,Inf,"637973"
"1241","Snohomish County","30",15,44,"334818"
"1242","Snohomish County","31",NA,NA,"38.2"
"1243","Snohomish County","8",35,39,"64400"
"1244","Walla Walla County","4",15,19,"4650"
"1245","Whatcom County","29",18,Inf,"185293"
"1246","Whatcom County","30",15,44,"98000"
"1247","Whatcom County","31",NA,NA,"37.6"
"1248","Snohomish County","4",15,19,"46451"
