"","County","AGEGROUP","AGEGROUPMIN","AGEGROUPMAX","POP"
"134","Columbia County","5",20,24,"169"
"135","Columbia County","6",25,29,"198"
"136","Columbia County","7",30,34,"201"
"137","Columbia County","8",35,39,"212"
"138","Columbia County","9",40,44,"201"
"139","Columbia County","10",45,49,"192"
"140","Columbia County","11",50,54,"241"
"141","Columbia County","12",55,59,"324"
"142","Columbia County","13",60,64,"332"
"143","Columbia County","14",65,69,"340"
"144","Columbia County","15",70,74,"293"
"145","Columbia County","16",75,79,"223"
"146","Columbia County","17",80,84,"144"
"147","Columbia County","18",85,Inf,"134"
"148","Columbia County","19",0,17,"716"
"149","Columbia County","20",5,13,"367"
"150","Columbia County","21",14,17,"160"
"151","Columbia County","22",18,64,"2135"
"152","Columbia County","23",18,24,"234"
"153","Columbia County","24",25,44,"812"
"154","Columbia County","25",45,64,"1089"
"155","Columbia County","26",65,Inf,"1134"
"156","Columbia County","27",85,Inf,"134"
"157","Columbia County","28",16,Inf,"3350"
"158","Columbia County","29",18,Inf,"3269"
"159","Columbia County","30",15,44,"1164"
"160","Columbia County","31",NA,NA,"50.7"
"161","Clark County","0",0,Inf,"488241"
"162","Clark County","1",0,4,"29255"
"163","Clark County","2",5,9,"31602"
"164","Clark County","3",10,14,"33599"
"165","Clark County","4",15,19,"31177"
"166","Clark County","5",20,24,"28518"
"167","Clark County","6",25,29,"33261"
"168","Clark County","7",30,34,"32508"
"169","Clark County","8",35,39,"33137"
"170","Clark County","9",40,44,"32173"
"171","Clark County","10",45,49,"32146"
"172","Clark County","11",50,54,"30675"
"173","Clark County","12",55,59,"32239"
"174","Clark County","13",60,64,"30009"
"175","Clark County","14",65,69,"26980"
"176","Clark County","15",70,74,"21648"
"177","Clark County","16",75,79,"13786"
"178","Clark County","17",80,84,"7938"
"179","Clark County","18",85,Inf,"7590"
"180","Clark County","19",0,17,"114686"
"181","Clark County","20",5,13,"58534"
"182","Clark County","21",14,17,"26897"
"183","Clark County","22",18,64,"295613"
"184","Clark County","23",18,24,"39465"
"185","Clark County","24",25,44,"131079"
"186","Clark County","25",45,64,"125069"
"187","Clark County","26",65,Inf,"77942"
"188","Clark County","27",85,Inf,"7590"
"189","Clark County","28",16,Inf,"386999"
"190","Clark County","29",18,Inf,"373555"
"191","Clark County","30",15,44,"190774"
"192","Clark County","31",NA,NA,"38.7"
"193","Asotin County","0",0,Inf,"22582"
"194","Asotin County","1",0,4,"1160"
"195","Asotin County","2",5,9,"1265"
"196","Asotin County","3",10,14,"1306"
"197","Asotin County","4",15,19,"1236"
