date,tests1,tests2,tests3,tests4,tests,pos1,pos2,pos3,pos4,daily.pos,cases,sym_pos1,sym_pos2,sym_pos3,sym_pos4,sym_cases,hosps1,hosps2,hosps3,hosps4,Hospitalizations,hosp_deaths1,hosp_deaths2,hosp_deaths3,hosp_deaths4,hosp_deaths,deaths1,deaths2,deaths3,deaths4,deaths,Tot_hosp
2020-04-13,8,88,53,12,161,8,78,52,12,150,5189,5,59,44,11,4179,0,3,7,6,16,0,0,0,6,198,0,0,0,9,327,1037
2020-04-14,5,74,49,22,150,5,62,47,21,135,5324,2,50,40,14,4285,2,5,7,6,20,0,0,1,2,201,0,0,2,3,332,1057
2020-04-15,8,79,50,23,160,8,60,49,21,138,5462,4,51,42,15,4397,0,6,10,5,21,0,2,0,2,205,0,2,0,3,337,1078
2020-04-16,9,74,35,29,147,9,65,35,29,138,5600,7,54,31,21,4510,0,7,7,11,25,0,0,0,9,214,0,0,1,12,350,1103
2020-04-17,12,88,47,20,167,11,79,46,16,152,5752,8,58,34,12,4622,0,8,8,7,23,0,1,3,3,221,0,1,3,4,358,1126
2020-04-18,1,31,19,16,67,1,27,18,16,62,5814,0,23,14,9,4668,0,2,10,9,21,0,0,1,7,229,0,0,1,10,369,1147
2020-04-19,1,32,18,7,58,1,19,17,6,43,5857,1,17,16,5,4707,0,4,8,8,20,0,0,2,5,236,0,0,4,9,382,1167
2020-04-20,6,85,39,17,147,5,70,39,15,129,5986,3,59,32,10,4811,1,1,5,9,16,0,0,0,5,241,0,0,0,7,389,1183
2020-04-21,8,65,39,12,124,7,51,38,12,108,6094,6,42,30,12,4901,0,9,9,4,22,0,0,3,5,249,0,0,4,10,403,1205
2020-04-22,11,194,35,26,266,9,59,30,24,122,6216,7,48,22,21,4999,0,4,6,11,21,0,0,1,2,252,0,1,2,2,408,1226
2020-04-23,6,85,50,25,166,5,58,33,9,105,6321,5,50,23,8,5085,0,5,2,7,14,0,0,1,1,254,0,0,1,4,413,1240
2020-04-24,4,114,68,29,215,4,53,36,22,115,6436,4,49,26,11,5175,0,1,6,4,11,0,0,2,4,260,0,0,3,5,421,1251
2020-04-25,5,63,31,24,123,3,33,17,17,70,6506,3,28,12,13,5231,0,4,7,6,17,0,0,2,5,267,0,0,3,7,431,1268
2020-04-26,3,66,53,36,158,1,26,21,5,53,6559,1,18,16,5,5271,0,3,7,4,14,0,0,1,6,274,0,0,1,8,440,1282
2020-04-27,7,75,47,8,137,7,61,44,8,120,6679,4,49,33,7,5364,0,2,4,2,8,0,1,0,3,278,0,1,0,5,446,1290
2020-04-28,9,110,58,13,190,5,62,31,8,106,6785,4,50,23,7,5448,0,5,3,8,16,0,0,3,1,282,0,0,3,2,451,1306
2020-04-29,17,145,76,31,269,10,61,37,19,127,6912,10,52,28,16,5554,0,3,5,7,15,0,0,2,1,285,0,0,3,3,457,1321
2020-04-30,14,145,62,24,245,10,45,20,10,85,6997,7,34,16,7,5618,0,3,2,2,7,0,0,0,3,288,0,0,0,4,461,1328
2020-05-01,16,264,78,35,393,9,67,40,25,141,7138,6,50,27,14,5715,0,3,3,2,8,0,0,0,6,294,0,0,1,6,468,1336
2020-05-02,11,131,47,28,217,2,27,12,7,48,7186,2,24,8,6,5755,0,4,6,5,15,0,0,0,0,294,0,0,1,3,472,1351
2020-05-03,12,81,37,15,145,1,19,4,2,26,7212,1,12,2,2,5772,0,3,2,1,6,0,0,1,4,299,0,0,1,4,477,1357
2020-05-04,12,102,33,16,163,10,66,25,9,110,7322,7,54,18,5,5856,0,4,3,5,12,0,0,3,1,303,0,1,5,1,484,1369
2020-05-05,8,85,50,16,159,3,44,22,11,80,7402,2,34,18,2,5912,0,4,1,4,9,0,0,3,1,307,0,0,3,1,488,1378
2020-05-06,19,110,41,24,194,13,53,16,15,97,7499,10,44,14,12,5992,0,2,3,5,10,0,0,1,2,310,0,0,1,4,493,1388
2020-05-07,7,126,43,19,195,4,46,22,10,82,7581,4,40,15,8,6059,0,0,2,5,7,0,0,2,2,314,0,0,2,3,498,1395
2020-05-08,24,133,52,16,225,15,40,16,9,80,7661,12,31,15,2,6119,0,4,4,2,10,0,0,0,6,320,0,0,0,6,504,1405
2020-05-09,12,89,34,13,148,4,27,13,5,49,7710,4,22,11,5,6161,0,2,3,2,7,0,0,0,3,323,0,0,0,4,508,1412
2020-05-10,1,33,9,6,49,0,10,4,5,19,7729,0,8,4,5,6178,0,4,3,5,12,0,0,2,5,330,0,0,3,7,518,1424
2020-05-11,8,71,24,6,109,8,54,17,6,85,7814,7,39,15,3,6242,0,3,5,1,9,0,0,0,2,332,0,0,0,2,520,1433
2020-05-12,9,70,23,15,117,9,35,18,13,75,7889,7,26,12,8,6295,0,1,2,3,6,0,0,1,1,334,0,0,1,2,523,1439
2020-05-13,13,82,32,19,146,9,43,16,18,86,7975,6,33,12,8,6354,0,2,3,2,7,0,0,0,0,334,0,0,0,1,524,1446
2020-05-14,10,61,29,9,109,10,34,23,7,74,8049,8,24,16,5,6407,1,3,2,3,9,0,0,0,2,336,0,0,0,3,527,1455
2020-05-15,18,67,37,12,134,17,44,26,10,97,8146,15,38,17,5,6482,0,1,3,2,6,0,0,1,0,337,0,0,1,0,528,1461
2020-05-16,6,32,5,6,49,5,17,4,5,31,8177,3,15,4,2,6506,0,2,3,0,5,0,0,0,2,339,0,0,0,4,532,1466
2020-05-17,1,30,7,3,41,0,9,4,2,15,8192,0,8,3,2,6519,0,0,2,1,3,0,0,2,1,342,0,0,2,2,536,1469
2020-05-18,7,51,18,11,87,7,45,17,11,80,8272,3,35,13,7,6577,0,1,5,3,9,0,0,0,1,343,0,0,0,1,537,1478
2020-05-19,5,49,20,6,80,4,24,15,4,47,8319,2,16,13,3,6611,0,4,3,2,9,0,0,3,1,347,0,0,3,1,541,1487
2020-05-20,16,58,21,13,108,14,35,17,13,79,8398,10,27,8,4,6660,0,2,4,4,10,0,0,0,2,349,0,0,0,3,544,1497
2020-05-21,8,37,16,8,69,6,22,9,7,44,8442,4,17,6,5,6692,0,0,4,1,5,0,0,2,1,352,0,0,2,1,547,1502
2020-05-22,16,48,10,7,81,15,27,6,3,51,8493,9,21,5,3,6730,0,5,3,3,11,0,1,1,0,354,0,1,1,0,549,1513
2020-05-23,1,29,10,1,41,1,13,8,1,23,8516,1,10,6,1,6748,0,1,5,1,7,0,0,1,2,357,0,0,1,3,553,1520
2020-05-24,3,21,13,5,42,2,8,5,4,19,8535,2,7,4,4,6765,0,4,0,4,8,0,0,1,2,360,0,0,1,3,557,1528
2020-05-25,2,26,6,16,50,1,9,5,2,17,8552,1,7,2,1,6776,0,2,2,3,7,0,0,0,2,362,0,0,0,3,560,1535
2020-05-26,10,68,18,9,105,10,38,17,9,74,8626,6,26,12,7,6827,1,0,1,1,3,0,0,0,1,363,0,0,0,1,561,1538
2020-05-27,6,59,16,5,86,6,36,13,4,59,8685,2,27,10,3,6869,0,1,2,3,6,0,1,1,2,367,0,1,2,3,567,1544
2020-05-28,8,82,16,15,121,8,37,10,13,68,8753,4,29,7,6,6915,0,1,0,2,3,0,0,0,1,368,0,0,0,1,568,1547
2020-05-29,5,88,24,9,126,4,54,20,7,85,8838,3,34,9,5,6966,0,1,4,5,10,0,1,1,0,370,0,1,1,1,571,1557
2020-05-30,6,27,8,0,41,6,19,5,0,30,8868,2,15,5,0,6988,0,2,0,1,3,0,0,0,1,371,0,0,0,1,572,1560
2020-05-31,3,29,8,4,44,3,9,3,2,17,8885,1,8,3,2,7002,0,1,2,2,5,0,0,0,1,372,0,0,0,2,574,1565
2020-06-01,5,46,11,5,67,5,32,10,5,52,8937,1,21,3,4,7031,0,1,2,2,5,0,0,1,1,374,0,0,1,1,576,1570
2020-06-02,21,49,16,6,92,20,30,13,5,68,9005,17,23,10,3,7084,0,2,1,0,3,0,0,0,1,375,0,0,0,2,578,1573
2020-06-03,9,63,16,4,92,9,36,8,4,57,9062,5,26,3,4,7122,1,0,0,2,3,0,0,0,1,376,0,0,0,1,579,1576
2020-06-04,2,73,16,1,92,2,24,12,0,38,9100,1,20,7,0,7150,0,0,1,1,2,0,1,0,0,377,0,1,0,1,581,1578
2020-06-05,9,47,14,5,75,8,23,11,2,44,9144,5,16,8,2,7181,0,1,4,2,7,0,0,0,0,377,0,0,0,1,582,1585
2020-06-06,4,37,10,5,56,4,18,7,4,33,9177,3,13,6,3,7206,0,2,0,1,3,0,0,0,1,378,0,0,0,1,583,1588
2020-06-07,1,31,7,3,42,0,9,4,3,16,9193,0,6,4,1,7217,0,3,1,1,5,0,0,1,1,380,0,0,1,2,586,1593
2020-06-08,7,85,13,7,112,6,34,12,6,58,9251,4,26,6,2,7255,0,3,0,2,5,0,0,1,0,381,0,0,2,0,588,1598
2020-06-09,9,186,16,7,218,7,34,4,4,49,9300,3,29,2,3,7292,0,0,3,0,3,0,0,0,1,382,0,0,0,1,589,1601
2020-06-10,6,182,30,53,271,6,34,9,6,55,9355,1,26,5,5,7329,0,1,4,1,6,0,0,0,0,382,0,0,0,0,589,1607
2020-06-11,7,137,37,30,211,5,32,14,5,56,9411,4,23,9,3,7368,0,0,0,2,2,0,0,0,2,384,0,0,0,5,594,1609
2020-06-12,11,90,23,29,153,8,38,15,22,83,9494,6,21,7,11,7413,0,0,0,0,2,0,0,2,1,387,0,0,2,1,597,1611
2020-06-13,5,45,8,5,63,5,29,7,4,45,9539,3,18,1,3,7438,0,0,1,2,3,0,0,0,0,387,0,0,0,1,598,1614
2020-06-14,4,38,12,5,59,3,15,8,4,30,9569,2,13,6,0,7459,1,2,0,0,3,0,0,1,0,388,0,0,1,0,599,1617
2020-06-15,19,87,21,7,134,18,40,17,3,78,9647,6,28,10,3,7506,1,1,2,3,7,0,0,0,0,388,0,0,0,0,599,1624
2020-06-16,14,154,24,4,196,12,60,18,4,94,9741,5,40,12,1,7564,1,1,1,1,4,0,0,0,0,388,0,0,0,1,600,1628
2020-06-17,16,112,17,2,147,14,62,12,1,89,9830,8,43,7,1,7623,0,2,3,0,5,0,0,0,0,388,0,0,0,0,600,1633
2020-06-18,9,180,22,6,217,7,64,12,3,86,9916,4,41,10,2,7680,0,1,2,0,3,0,0,0,1,389,0,0,0,1,601,1636
2020-06-19,15,86,26,16,143,12,51,21,11,95,10011,7,40,15,7,7749,0,2,0,5,7,0,0,0,0,389,0,0,0,0,601,1643
2020-06-20,6,78,14,4,102,5,49,12,2,68,10079,4,42,8,2,7805,0,1,2,3,6,0,0,0,0,389,0,0,0,1,602,1649
2020-06-21,8,65,8,1,82,8,43,7,1,59,10138,3,27,4,0,7839,1,1,2,0,4,0,0,1,1,391,0,0,1,1,604,1653
2020-06-22,19,111,34,13,177,19,96,28,11,154,10292,10,66,25,8,7948,0,5,0,1,6,0,0,0,0,391,0,0,0,1,605,1659
2020-06-23,17,135,25,8,185,17,106,21,5,149,10441,10,76,14,5,8053,0,4,1,3,8,0,0,1,0,392,0,0,1,3,609,1667
2020-06-24,27,122,22,18,189,27,105,20,15,167,10608,19,76,14,11,8173,0,4,0,2,6,0,0,0,0,392,0,0,0,0,609,1673
2020-06-25,28,222,39,36,325,23,101,19,7,150,10758,13,71,13,5,8275,0,3,4,3,10,0,0,0,2,394,0,0,0,2,611,1683
2020-06-26,22,123,24,5,174,21,95,22,5,143,10901,16,59,19,3,8372,0,0,2,2,4,0,0,0,1,395,0,0,0,1,612,1687
2020-06-27,49,118,16,2,185,48,87,16,2,153,11054,32,68,15,2,8489,0,7,1,2,10,0,0,0,1,396,0,0,0,1,613,1697
2020-06-28,12,62,14,4,92,11,34,13,4,62,11116,5,20,10,4,8528,0,2,5,4,11,0,0,0,0,396,0,0,0,0,613,1708
2020-06-29,79,265,39,9,392,76,175,38,8,297,11413,42,116,24,7,8717,0,2,3,1,6,0,0,0,0,0,0,0,0,0,613,1714
2020-06-30,43,278,44,10,375,32,164,35,5,236,11649,17,104,23,4,8865,0,1,2,1,4,0,0,0,0,0,0,0,0,0,613,1718
2020-07-01,40,238,35,13,326,36,167,28,9,240,11889,21,118,16,3,9023,0,2,0,1,3,0,0,0,0,396,0,0,0,2,615,1721
2020-07-02,54,299,42,20,415,53,129,33,17,232,12121,32,87,23,9,9174,0,1,1,3,5,0,0,0,0,396,0,0,1,1,617,1726
2020-07-03,27,134,27,7,195,25,87,19,6,137,12258,21,57,15,4,9271,0,4,2,1,7,0,0,0,2,398,0,0,1,2,620,1733
2020-07-04,9,55,9,4,77,9,41,7,4,61,12319,5,29,6,4,9315,0,0,4,0,4,0,0,0,0,398,0,0,0,0,620,1737
2020-07-05,16,72,21,4,113,15,46,16,4,81,12400,8,33,11,2,9369,0,0,2,4,6,0,0,1,0,399,0,0,1,0,621,1743
2020-07-06,33,195,53,12,293,33,134,51,12,230,12630,18,90,35,6,9518,1,0,6,3,10,0,0,0,2,401,0,0,0,2,623,1753
2020-07-07,34,199,39,17,289,31,163,35,13,242,12872,16,105,26,7,9672,0,4,6,2,12,0,1,0,0,402,0,1,0,1,625,1765
2020-07-08,48,312,45,11,416,41,141,31,7,220,13092,24,100,17,3,9816,0,6,0,2,8,0,0,0,1,403,0,0,0,2,627,1773
2020-07-09,50,223,53,11,337,47,107,40,9,203,13295,26,64,27,6,9939,0,3,5,0,8,0,0,0,3,406,0,0,0,5,632,1781
2020-07-10,37,166,38,7,248,37,145,38,7,227,13522,19,84,28,4,10074,0,3,3,1,7,0,0,0,1,407,0,0,0,1,633,1788
2020-07-11,19,123,17,9,168,19,82,15,6,122,13644,12,51,10,6,10153,0,4,3,3,10,0,0,0,0,407,0,0,0,0,633,1798
2020-07-12,9,115,14,5,143,6,72,12,3,93,13737,0,45,10,1,10209,0,2,6,2,10,0,0,0,0,0,0,0,0,0,633,1808
2020-07-13,43,299,48,6,396,43,168,47,6,264,14001,19,96,32,6,10362,0,2,5,2,9,0,0,0,1,408,0,0,0,1,634,1817
2020-07-14,61,231,52,11,355,48,155,36,6,245,14246,27,86,29,5,10509,0,4,7,1,12,0,0,0,1,409,0,0,0,2,636,1829
2020-07-15,37,211,49,16,313,36,159,40,15,250,14496,18,105,27,11,10670,0,4,2,1,7,0,0,1,0,410,0,0,1,0,637,1836
2020-07-16,26,183,41,14,264,24,118,29,13,184,14680,11,62,17,5,10765,0,4,2,0,6,0,0,0,0,410,0,0,0,0,637,1842
2020-07-17,36,330,50,26,442,35,117,44,26,222,14902,18,75,23,19,10900,0,1,3,5,9,0,0,0,0,0,0,0,0,0,637,1851
2020-07-18,25,119,41,7,192,23,71,30,7,131,15033,14,45,21,3,10983,0,2,4,2,8,0,0,1,0,411,0,0,1,1,639,1859
2020-07-19,10,82,27,21,140,9,46,27,20,102,15135,6,36,18,12,11055,0,6,5,1,12,0,0,0,1,412,0,0,0,2,641,1871
2020-07-20,41,157,50,5,253,41,132,49,3,225,15360,15,83,34,1,11188,0,1,5,5,11,0,0,0,1,413,0,0,0,2,643,1882
2020-07-21,37,205,63,12,317,37,154,60,11,262,15622,23,99,34,7,11351,0,2,4,1,7,0,0,2,0,415,0,0,2,0,645,1889
2020-07-22,47,176,53,12,288,43,133,47,11,234,15856,17,93,33,8,11502,0,4,6,1,11,0,0,2,0,417,0,0,2,0,647,1900
2020-07-23,33,262,47,9,351,28,128,44,8,208,16064,17,97,26,4,11646,0,2,1,1,4,0,0,0,1,418,0,0,0,1,648,1904
2020-07-24,41,138,43,10,232,40,92,37,9,178,16242,20,58,26,4,11754,0,4,4,1,9,0,0,0,0,418,0,0,0,1,649,1913
2020-07-25,19,110,25,4,158,19,92,22,4,137,16379,13,69,12,1,11849,1,3,2,1,7,0,0,0,1,419,0,0,0,1,650,1920
2020-07-26,14,85,24,5,128,14,53,20,4,91,16470,10,34,14,3,11910,1,2,2,5,10,0,0,0,1,420,0,0,0,2,652,1930
2020-07-27,40,171,48,27,286,39,143,48,25,255,16725,14,84,26,13,12047,0,4,7,2,13,0,0,0,0,420,0,0,0,1,653,1943
2020-07-28,51,144,45,26,266,49,114,43,26,232,16957,26,72,24,15,12184,0,0,4,6,10,0,0,0,0,420,0,1,1,1,656,1953
2020-07-29,32,150,42,20,244,32,122,41,19,214,17171,22,83,24,12,12325,0,5,3,2,10,0,0,0,0,420,0,0,1,2,659,1963
2020-07-30,37,451,39,12,539,33,89,34,12,168,17339,14,63,26,11,12439,0,4,7,3,14,0,0,0,0,420,0,0,0,2,661,1977
2020-07-31,37,873,42,18,970,31,84,39,17,171,17510,20,56,34,13,12562,1,2,7,2,12,0,0,2,2,424,0,0,3,3,667,1989
2020-08-01,26,104,30,5,165,26,63,28,4,121,17631,17,52,25,2,12658,0,4,2,4,10,0,0,0,0,424,0,0,0,3,670,1999
2020-08-02,8,56,9,5,78,8,29,7,4,48,17679,3,24,5,4,12694,0,1,4,4,9,0,0,0,1,425,0,0,0,1,671,2008
2020-08-03,33,139,49,15,236,33,101,47,14,195,17874,23,63,35,8,12823,0,2,4,3,9,0,0,0,1,426,0,0,0,3,674,2017
2020-08-04,46,137,54,14,251,44,102,52,14,212,18086,22,68,35,9,12957,0,8,2,4,14,0,1,0,2,429,0,1,0,6,681,2031
2020-08-05,52,142,43,14,251,50,105,39,14,208,18294,22,71,23,13,13086,0,3,3,1,7,0,0,0,1,430,0,0,0,3,684,2038
2020-08-06,47,157,33,12,249,45,105,29,12,191,18485,24,73,19,8,13210,0,2,4,5,11,0,0,1,0,431,0,0,1,0,685,2049
2020-08-07,40,135,36,11,222,36,95,31,10,172,18657,26,68,22,7,13333,0,1,2,5,8,0,0,1,3,435,0,0,1,6,692,2057
2020-08-08,36,108,24,6,174,32,64,21,5,122,18779,21,49,16,3,13422,0,1,5,2,8,0,0,1,1,437,0,0,1,1,694,2065
2020-08-09,21,68,12,5,106,19,37,11,4,71,18850,12,26,4,4,13468,0,1,2,3,6,0,0,1,2,440,0,0,1,2,697,2071
2020-08-10,37,132,55,13,237,37,112,54,13,216,19066,20,68,37,8,13601,0,3,8,3,14,0,0,1,1,442,0,0,1,1,699,2085
2020-08-11,24,105,34,19,182,23,90,33,19,165,19231,16,58,22,8,13705,0,3,2,4,9,0,0,0,0,442,0,0,0,0,699,2094
2020-08-12,34,134,27,9,204,33,97,26,8,164,19395,19,69,19,7,13819,0,1,3,3,7,0,0,1,1,444,0,0,1,3,703,2101
2020-08-13,30,130,36,6,202,29,95,31,5,160,19555,15,69,23,3,13929,0,3,3,4,10,0,0,0,1,445,0,0,0,2,705,2111
2020-08-14,40,136,36,19,231,38,99,35,19,191,19746,24,67,21,15,14056,0,2,4,4,10,0,0,0,3,448,0,0,0,4,709,2121
2020-08-15,23,97,29,10,159,23,77,27,9,136,19882,9,50,17,5,14137,0,2,6,1,9,0,0,2,0,450,0,0,2,1,712,2130
2020-08-16,16,47,9,5,77,15,29,9,5,58,19940,10,21,8,5,14181,0,2,3,4,9,0,0,0,1,451,0,0,0,2,714,2139
2020-08-17,34,161,34,12,241,33,113,29,11,186,20126,17,83,27,9,14317,0,3,2,3,8,0,1,0,1,453,0,1,0,1,716,2147
2020-08-18,15,100,39,22,176,15,58,29,16,118,20244,10,42,17,9,14395,0,2,2,5,9,0,0,1,1,455,0,0,2,2,720,2156
2020-08-19,27,138,46,8,219,25,94,36,8,163,20407,20,68,25,5,14513,0,2,7,4,13,0,0,0,0,455,0,0,1,1,722,2169
2020-08-20,29,161,31,5,226,26,88,25,3,142,20549,16,61,15,1,14606,0,6,3,2,11,0,0,0,0,455,0,1,0,0,723,2180
2020-08-21,30,107,37,9,183,26,73,28,9,136,20685,14,56,22,3,14701,0,2,3,1,6,0,0,0,2,457,0,0,0,2,725,2186
2020-08-22,19,64,21,3,107,19,37,17,3,76,20761,16,25,14,3,14759,0,1,2,0,3,0,0,0,2,459,0,0,0,2,727,2189
2020-08-23,17,60,16,3,96,14,34,16,3,67,20828,11,25,12,3,14810,0,0,6,3,9,0,0,0,0,459,0,0,0,0,727,2198
2020-08-24,28,126,36,7,197,28,107,33,5,173,21001,12,75,25,3,14925,0,2,5,3,10,0,0,0,0,0,0,0,0,0,727,2208
