County Level Timeseries Data for Washington
Date generated: Thu Sep 30 2021 15:36:58 GMT+0200 (Central European Summer Time)
FIPS code,State Abbreviation,State Name,County,Cases 7-day rolling average,Deaths 7-day rolling average,Tests performed 7-day rolling average,Test positivity 7-day rolling average,Total admissions of confirmed COVID-19 patients 7-day rolling average - reports including both adult and pediatric patients,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Date,Report date window start,Report date window end,Level of Community Transmission 
53033,WA,Washington,King County,489.143,3.42857,null,null,13.14,0,0,2021-09-29,2021-09-23,2021-09-29,high
53033,WA,Washington,King County,494.571,2.42857,null,null,16,6.95,16.74,2021-09-28,2021-09-22,2021-09-28,high
53033,WA,Washington,King County,463,3.42857,null,null,17.57,7.04,17.15,2021-09-27,2021-09-21,2021-09-27,high
53033,WA,Washington,King County,463,3.42857,null,null,17.43,7.21,17.66,2021-09-26,2021-09-20,2021-09-26,high
53033,WA,Washington,King County,463,3.42857,null,null,17,7.29,17.56,2021-09-25,2021-09-19,2021-09-25,high
53033,WA,Washington,King County,493,3,null,null,17.57,7.38,17.89,2021-09-24,2021-09-18,2021-09-24,high
53033,WA,Washington,King County,453,3,null,null,19.29,7.55,18.58,2021-09-23,2021-09-17,2021-09-23,high
53033,WA,Washington,King County,508.857,3.42857,null,null,20.86,7.72,19.15,2021-09-22,2021-09-16,2021-09-22,high
53033,WA,Washington,King County,498.143,4.71429,null,null,20.71,7.83,19.73,2021-09-21,2021-09-15,2021-09-21,high
53033,WA,Washington,King County,564.857,4.14286,null,null,20,7.93,20.3,2021-09-20,2021-09-14,2021-09-20,high
53033,WA,Washington,King County,564.857,4.14286,null,null,20.29,7.9,20.65,2021-09-19,2021-09-13,2021-09-19,high
53033,WA,Washington,King County,564.857,4.14286,null,null,21,7.96,21.13,2021-09-18,2021-09-12,2021-09-18,high
53033,WA,Washington,King County,558.714,5.71429,null,null,20.86,8.08,21.05,2021-09-17,2021-09-11,2021-09-17,high
53033,WA,Washington,King County,587.286,6.28571,null,null,21.14,8.21,20.95,2021-09-16,2021-09-10,2021-09-16,high
53033,,,,0,0,1143.29,63.12,21.71,8.27,20.98,2021-09-15,2021-09-09,2021-09-15,high
53033,WA,Washington,King County,790.857,5.57143,null,null,22,8.36,20.92,2021-09-14,2021-09-08,2021-09-14,high
53033,,,,0,0,799.86,80.29,22.43,8.44,20.97,2021-09-13,2021-09-07,2021-09-13,high
53033,WA,Washington,King County,534.714,4.57143,null,null,23.14,8.66,21.08,2021-09-12,2021-09-06,2021-09-12,high
53033,WA,Washington,King County,534.714,4.57143,null,null,23.86,8.77,21.36,2021-09-11,2021-09-05,2021-09-11,high
53033,WA,Washington,King County,538,3.42857,null,null,24.29,8.83,21.81,2021-09-10,2021-09-04,2021-09-10,high
53033,WA,Washington,King County,554,3.28571,null,null,23.86,8.84,22.31,2021-09-09,2021-09-03,2021-09-09,high
53033,WA,Washington,King County,579.857,3.57143,null,null,24.43,8.89,22.59,2021-09-08,2021-09-02,2021-09-08,high
53033,WA,Washington,King County,379.143,2.71429,null,null,25.29,8.98,22.93,2021-09-07,2021-09-01,2021-09-07,high
53033,WA,Washington,King County,617.286,3.42857,null,null,26.43,8.98,22.98,2021-09-06,2021-08-31,2021-09-06,high
53033,WA,Washington,King County,617.286,3.42857,null,null,26.29,8.94,23.15,2021-09-05,2021-08-30,2021-09-05,high
53033,WA,Washington,King County,617.286,3.42857,null,null,26.14,8.98,23.13,2021-09-04,2021-08-29,2021-09-04,high
53033,WA,Washington,King County,628,4.14286,null,null,27,8.95,23.01,2021-09-03,2021-08-28,2021-09-03,high
53033,WA,Washington,King County,628,4.14286,null,null,28.14,8.94,22.66,2021-09-02,2021-08-27,2021-09-02,high
53033,WA,Washington,King County,623.714,3.71429,null,null,28.86,8.93,21.87,2021-09-01,2021-08-26,2021-09-01,high
53033,WA,Washington,King County,608.571,3.42857,null,null,29.43,8.83,21.2,2021-08-31,2021-08-25,2021-08-31,high
53033,WA,Washington,King County,598.286,3.85714,null,null,30.14,8.76,20.84,2021-08-30,2021-08-24,2021-08-30,high
53033,WA,Washington,King County,611.714,3.57143,null,null,31.71,8.66,20.17,2021-08-29,2021-08-23,2021-08-29,high
53033,WA,Washington,King County,611.714,3.57143,null,null,31.14,8.49,19.6,2021-08-28,2021-08-22,2021-08-28,high
53033,WA,Washington,King County,611.714,3.57143,null,null,32.57,8.42,19.13,2021-08-27,2021-08-21,2021-08-27,high
53033,WA,Washington,King County,601.429,2.57143,null,null,33.71,8.31,18.48,2021-08-26,2021-08-20,2021-08-26,high
53033,WA,Washington,King County,614.857,3.28571,null,null,33.14,8.12,18.26,2021-08-25,2021-08-19,2021-08-25,high
53033,WA,Washington,King County,627.714,3.14286,null,null,33.86,7.97,17.89,2021-08-24,2021-08-18,2021-08-24,high
53033,WA,Washington,King County,613.714,2.85714,null,null,33.86,7.75,17.12,2021-08-23,2021-08-17,2021-08-23,high
53033,WA,Washington,King County,602.571,2.57143,null,null,32.14,7.56,16.53,2021-08-22,2021-08-16,2021-08-22,high
53033,WA,Washington,King County,602.571,2.57143,null,null,32.43,7.38,15.96,2021-08-21,2021-08-15,2021-08-21,high
53033,WA,Washington,King County,602.571,2.57143,null,null,29.71,7.16,15.39,2021-08-20,2021-08-14,2021-08-20,high
53033,WA,Washington,King County,615.286,2.28571,null,null,27.14,6.95,14.86,2021-08-19,2021-08-13,2021-08-19,high
53033,WA,Washington,King County,612.429,suppressed,null,null,26.86,6.78,14.42,2021-08-18,2021-08-12,2021-08-18,high
53033,WA,Washington,King County,675.714,suppressed,null,null,25.57,6.55,13.88,2021-08-17,2021-08-11,2021-08-17,high
53033,WA,Washington,King County,635.143,suppressed,null,null,24.71,6.38,13.29,2021-08-16,2021-08-10,2021-08-16,high
53033,WA,Washington,King County,629.571,suppressed,null,null,24.71,6.23,12.67,2021-08-15,2021-08-09,2021-08-15,high
53033,WA,Washington,King County,629.571,suppressed,null,null,23.29,5.97,11.92,2021-08-14,2021-08-08,2021-08-14,high
53033,WA,Washington,King County,629.571,suppressed,null,null,21.86,5.71,11.37,2021-08-13,2021-08-07,2021-08-13,high
53033,WA,Washington,King County,595.143,suppressed,null,null,22,5.47,10.93,2021-08-12,2021-08-06,2021-08-12,high
53033,WA,Washington,King County,569.143,suppressed,null,null,22,5.19,10.66,2021-08-11,2021-08-05,2021-08-11,high
53033,WA,Washington,King County,493.286,suppressed,null,null,20,4.83,10.28,2021-08-10,2021-08-04,2021-08-10,high
53033,WA,Washington,King County,677.143,suppressed,null,null,19.57,4.46,10.04,2021-08-09,2021-08-03,2021-08-09,high
53033,WA,Washington,King County,526.857,suppressed,null,null,19,4.11,9.86,2021-08-08,2021-08-02,2021-08-08,high
53033,WA,Washington,King County,526.857,suppressed,null,null,18.14,3.84,9.71,2021-08-07,2021-08-01,2021-08-07,high
53033,WA,Washington,King County,526.857,suppressed,null,null,18,3.55,9.19,2021-08-06,2021-07-31,2021-08-06,high
53033,WA,Washington,King County,457.143,suppressed,null,null,16.86,3.29,8.67,2021-08-05,2021-07-30,2021-08-05,high
53033,WA,Washington,King County,390.286,suppressed,null,null,14.86,3.07,7.89,2021-08-04,2021-07-29,2021-08-04,high
53033,WA,Washington,King County,341.571,suppressed,null,null,15,2.93,7.28,2021-08-03,2021-07-28,2021-08-03,high
53033,WA,Washington,King County,176.286,suppressed,null,null,13,2.81,6.84,2021-08-02,2021-07-27,2021-08-02,substantial
53033,WA,Washington,King County,197.143,suppressed,null,null,12.43,2.73,6.35,2021-08-01,2021-07-26,2021-08-01,substantial
53033,WA,Washington,King County,197.143,suppressed,null,null,13.29,2.63,5.86,2021-07-31,2021-07-25,2021-07-31,substantial
53033,WA,Washington,King County,197.143,suppressed,null,null,12.71,2.51,5.56,2021-07-30,2021-07-24,2021-07-30,substantial
53033,WA,Washington,King County,224.429,suppressed,null,null,12.43,2.36,5.28,2021-07-29,2021-07-23,2021-07-29,substantial
53033,WA,Washington,King County,235.286,suppressed,null,null,11.43,2.22,5.19,2021-07-28,2021-07-22,2021-07-28,substantial
53033,WA,Washington,King County,232.857,suppressed,null,null,11.14,2.08,5.07,2021-07-27,2021-07-21,2021-07-27,substantial
53033,WA,Washington,King County,216.714,suppressed,null,null,10,1.93,4.84,2021-07-26,2021-07-20,2021-07-26,substantial
53033,WA,Washington,King County,171.571,suppressed,null,null,8.86,1.82,4.81,2021-07-25,2021-07-19,2021-07-25,substantial
53033,WA,Washington,King County,171.571,suppressed,null,null,7.29,1.76,4.81,2021-07-24,2021-07-18,2021-07-24,substantial
53033,WA,Washington,King County,171.571,suppressed,null,null,7.29,1.76,4.79,2021-07-23,2021-07-17,2021-07-23,substantial
53033,WA,Washington,King County,163.857,suppressed,null,null,7.14,1.78,4.84,2021-07-22,2021-07-16,2021-07-22,substantial
53033,WA,Washington,King County,146.571,suppressed,null,null,7.14,1.8,4.76,2021-07-21,2021-07-15,2021-07-21,moderate
53033,WA,Washington,King County,136.857,0,null,null,7,1.81,4.64,2021-07-20,2021-07-14,2021-07-20,moderate
53033,WA,Washington,King County,145.143,suppressed,null,null,7.43,1.81,4.56,2021-07-19,2021-07-13,2021-07-19,moderate
53033,WA,Washington,King County,137.714,suppressed,null,null,7.86,1.8,4.29,2021-07-18,2021-07-12,2021-07-18,moderate
53033,WA,Washington,King County,137.714,suppressed,null,null,7.57,1.73,3.98,2021-07-17,2021-07-11,2021-07-17,moderate
53033,WA,Washington,King County,137.714,suppressed,null,null,7.71,1.68,3.61,2021-07-16,2021-07-10,2021-07-16,moderate
53033,WA,Washington,King County,126.429,1.42857,null,null,7.43,1.63,3.39,2021-07-15,2021-07-09,2021-07-15,moderate
53033,WA,Washington,King County,120.286,1.57143,null,null,7.43,1.6,3.22,2021-07-14,2021-07-08,2021-07-14,moderate
53033,WA,Washington,King County,108.857,2,null,null,6.29,1.6,3.16,2021-07-13,2021-07-07,2021-07-13,moderate
53033,WA,Washington,King County,129.857,1.71429,null,null,5.71,1.62,3.1,2021-07-12,2021-07-06,2021-07-12,moderate
53033,WA,Washington,King County,77,1.42857,null,null,5.14,1.62,3,2021-07-11,2021-07-05,2021-07-11,moderate
53033,WA,Washington,King County,77,1.42857,null,null,5.43,1.64,3.09,2021-07-10,2021-07-04,2021-07-10,moderate
53033,WA,Washington,King County,77,1.42857,null,null,5.14,1.65,3.34,2021-07-09,2021-07-03,2021-07-09,moderate
53033,WA,Washington,King County,75.1429,suppressed,null,null,5,1.65,3.78,2021-07-08,2021-07-02,2021-07-08,moderate
53033,WA,Washington,King County,75,suppressed,null,null,4.71,1.7,3.97,2021-07-07,2021-07-01,2021-07-07,moderate
53033,WA,Washington,King County,68.7143,suppressed,null,null,5.43,1.75,4.19,2021-07-06,2021-06-30,2021-07-06,moderate
53033,WA,Washington,King County,37,suppressed,null,null,5.43,1.8,4.37,2021-07-05,2021-06-29,2021-07-05,moderate
53033,WA,Washington,King County,53.2857,suppressed,null,null,6,1.88,4.71,2021-07-04,2021-06-28,2021-07-04,moderate
53033,WA,Washington,King County,53.2857,suppressed,null,null,5.86,1.96,5.08,2021-07-03,2021-06-27,2021-07-03,moderate
53033,WA,Washington,King County,63.8571,suppressed,null,null,5.71,2.04,5.42,2021-07-02,2021-06-26,2021-07-02,moderate
53033,WA,Washington,King County,60.8571,suppressed,null,null,5.57,2.13,5.31,2021-07-01,2021-06-25,2021-07-01,moderate
53033,WA,Washington,King County,58.4286,suppressed,null,null,5.71,2.18,5.51,2021-06-30,2021-06-24,2021-06-30,moderate
53033,WA,Washington,King County,108.143,5.42857,null,null,5.71,2.2,5.51,2021-06-29,2021-06-23,2021-06-29,moderate
53033,WA,Washington,King County,110.571,5.42857,null,null,6.57,2.18,5.53,2021-06-28,2021-06-22,2021-06-28,moderate
53033,WA,Washington,King County,111.714,6,null,null,7,2.15,5.56,2021-06-27,2021-06-21,2021-06-27,moderate
53033,WA,Washington,King County,111.714,6,null,null,7,2.12,5.58,2021-06-26,2021-06-20,2021-06-26,moderate
53033,WA,Washington,King County,113,6,null,null,7.14,2.09,5.53,2021-06-25,2021-06-19,2021-06-25,moderate
53033,WA,Washington,King County,117.571,6,null,null,7,2.05,5.62,2021-06-24,2021-06-18,2021-06-24,moderate
53033,WA,Washington,King County,116.286,5.85714,null,null,6.71,2.02,5.7,2021-06-23,2021-06-17,2021-06-23,moderate
53033,WA,Washington,King County,74.8571,suppressed,null,null,6.43,1.99,5.83,2021-06-22,2021-06-16,2021-06-22,moderate
53033,WA,Washington,King County,77.4286,suppressed,null,null,5.71,2.04,6,2021-06-21,2021-06-15,2021-06-21,moderate
53033,WA,Washington,King County,76.4286,suppressed,null,null,5.86,2.1,6.24,2021-06-20,2021-06-14,2021-06-20,moderate
53033,WA,Washington,King County,76.4286,suppressed,null,null,6.57,2.15,6.29,2021-06-19,2021-06-13,2021-06-19,moderate
53033,WA,Washington,King County,80.4286,suppressed,null,null,6.29,2.18,6.4,2021-06-18,2021-06-12,2021-06-18,moderate
53033,WA,Washington,King County,83.2857,suppressed,null,null,6,2.21,6.45,2021-06-17,2021-06-11,2021-06-17,moderate
53033,WA,Washington,King County,88.2857,suppressed,null,null,6,2.25,6.42,2021-06-16,2021-06-10,2021-06-16,moderate
53033,WA,Washington,King County,140.143,2,null,null,6.43,2.32,6.42,2021-06-15,2021-06-09,2021-06-15,moderate
53033,WA,Washington,King County,131,2.28571,null,null,7.57,2.36,6.38,2021-06-14,2021-06-08,2021-06-14,moderate
53033,WA,Washington,King County,114.571,2.28571,null,null,7,2.39,6.15,2021-06-13,2021-06-07,2021-06-13,moderate
53033,WA,Washington,King County,114.571,2.28571,null,null,6.71,2.44,6.19,2021-06-12,2021-06-06,2021-06-12,moderate
53033,WA,Washington,King County,117.429,2.28571,null,null,7.71,2.5,6.23,2021-06-11,2021-06-05,2021-06-11,moderate
53033,WA,Washington,King County,119,2.57143,null,null,8.57,2.55,6.31,2021-06-10,2021-06-04,2021-06-10,moderate
53033,WA,Washington,King County,124.143,2.28571,null,null,9.86,2.59,6.4,2021-06-09,2021-06-03,2021-06-09,moderate
53033,WA,Washington,King County,66.1429,1.42857,null,null,9.71,2.61,6.51,2021-06-08,2021-06-02,2021-06-08,moderate
53033,WA,Washington,King County,98.7143,2.28571,null,null,9.71,2.64,6.67,2021-06-07,2021-06-01,2021-06-07,moderate
53033,WA,Washington,King County,98.7143,2.28571,null,null,10.43,2.64,6.84,2021-06-06,2021-05-31,2021-06-06,moderate
53033,WA,Washington,King County,98.7143,2.28571,null,null,11,2.61,6.82,2021-06-05,2021-05-30,2021-06-05,moderate
53033,WA,Washington,King County,104.429,2.28571,null,null,10.14,2.6,6.96,2021-06-04,2021-05-29,2021-06-04,moderate
53033,WA,Washington,King County,115.571,2.42857,null,null,10.29,2.62,7.06,2021-06-03,2021-05-28,2021-06-03,moderate
53033,WA,Washington,King County,129.286,2.71429,null,null,9.86,2.65,7.09,2021-06-02,2021-05-27,2021-06-02,moderate
53033,WA,Washington,King County,163.286,2.85714,null,null,10.43,2.73,7.23,2021-06-01,2021-05-26,2021-06-01,substantial
53033,WA,Washington,King County,145.857,2.14286,null,null,14.14,2.82,7.22,2021-05-31,2021-05-25,2021-05-31,moderate
53033,WA,Washington,King County,201.286,2.57143,null,null,16.57,2.93,7.52,2021-05-30,2021-05-24,2021-05-30,substantial
53033,WA,Washington,King County,201.286,2.57143,null,null,17,3.1,7.8,2021-05-29,2021-05-23,2021-05-29,substantial
53033,WA,Washington,King County,176.857,2.57143,null,null,18.14,3.28,7.85,2021-05-28,2021-05-22,2021-05-28,substantial
53033,WA,Washington,King County,187.429,2.71429,null,null,19.14,3.43,8.03,2021-05-27,2021-05-21,2021-05-27,substantial
53033,WA,Washington,King County,183.143,2.14286,null,null,19.43,3.58,8.3,2021-05-26,2021-05-20,2021-05-26,substantial
