,time,S_i1,S_i2,S_i3,S_i4,E_i1,E_i2,E_i3,E_i4,A_i1,A_i2,A_i3,A_i4,P_i1,P_i2,P_i3,P_i4,I_i1,I_i2,I_i3,I_i4,D_i1,D_i2,D_i3,D_i4,H_i1,H_i2,H_i3,H_i4,R_i1,R_i2,R_i3,R_i4,F_i1,F_i2,F_i3,F_i4,cum_exp_i1,cum_exp_i2,cum_exp_i3,cum_exp_i4,cum_asym_i1,cum_asym_i2,cum_asym_i3,cum_asym_i4,cum_sym_i1,cum_sym_i2,cum_sym_i3,cum_sym_i4,cum_diag_i1,cum_diag_i2,cum_diag_i3,cum_diag_i4,cum_hosp_i1,cum_hosp_i2,cum_hosp_i3,cum_hosp_i4
1,0,502167,996886,514648,176295,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,502166.981325607,996885.934784233,514647.958472166,176294.987918914,0.0171813801651064,1.61759947348872,1.5958064773354,0.0111147896313247,0.00100612095691076,0.2072794777216,0.165093892745189,0.000279072529220498,0.00039588092679012,0.174575741831968,0.208486023627677,0.000597829532277592,5.08602908865954e-05,0.0473199361815738,0.0563217385963976,7.62150335960033e-05,1.03890414388944e-07,0.000164648400464603,0.000195603692971333,1.54873486410399e-07,2.09202211594348e-09,0.000102608271595311,0.000655517798561571,9.83154765906889e-07,4.0044371057087e-05,0.0181732625176155,0.0149584890812872,1.20040742367237e-05,0,6.18694786669077e-07,1.0091281755398e-05,3.75362043031941e-08,0.0186743926931875,0.0652157671083234,0.0415278341592404,0.0120810863651121,0.00104510876965675,0.223808146809802,0.178288542729536,0.000289889020136231,5.20228316341995e-05,0.0492324049778342,0.0589467904666265,7.85781813736138e-05,1.07799232959647e-07,0.000273934522541281,0.000877707581513856,1.18950391490464e-06,2.11730066643018e-09,0.000105106561143881,0.000677656235954414,1.03264625128065e-06
3,2,502166.930571906,996885.758951399,514647.846704364,176294.955257514,0.0588190254673521,1.41716681919467,1.34284708096756,0.037891977947182,0.00687662727064191,0.352820868824548,0.277281554594653,0.00190286581567884,0.00249492741807175,0.25312428035441,0.297432597201488,0.003758070654323,0.000656725493901545,0.146219963825341,0.171692600882257,0.000974613045451491,2.72798002883829e-06,0.00105423733039805,0.00123598111425236,4.00852754310413e-06,5.5314489408475e-08,0.00066053244410393,0.00414370204228499,2.48595325440635e-05,0.000578004764454072,0.0699935834271325,0.0585283023965404,0.000184138916410561,0,8.31586850410898e-06,0.000133817265464892,1.95142380321564e-06,0.0694280937089396,0.241048601269106,0.153295636464502,0.0447424858629363,0.00742634776911127,0.411940891037219,0.324179422198776,0.00205515237472628,0.000687793054404505,0.158816610682809,0.188836536096676,0.00103728488670499,2.88081015572904e-06,0.0018042942448363,0.00573221507937929,3.15462288188768e-05,5.6679160948244e-08,0.000694111921123522,0.00443727279230306,2.74324848286033e-05
4,3,502166.852952598,996885.494142478,514647.679049929,176294.905847638,0.114949764718016,1.33948538663324,1.19507998095732,0.0735113027486496,0.0200011794206701,0.462584925797206,0.355649711817127,0.00551070562610343,0.00672420856060854,0.287976022332952,0.328614759094927,0.0100802155635793,0.00270639105251109,0.259699629555885,0.299122799368578,0.00397117498838441,1.7131432214959e-05,0.00288527665532562,0.00332737416945685,2.47814183052918e-05,3.4984846139421e-07,0.00181778512413483,0.0111597012593185,0.00015013955656967,0.00264837676620046,0.151372796050882,0.12743010412487,0.000885775924315742,0,3.56992047019338e-05,0.000565639967644273,1.82658139351262e-05,0.147047401798682,0.505857521354324,0.32095007075924,0.0941523616398426,0.0224683459564666,0.583186067360543,0.450348035920769,0.00619231766735788,0.00290508256359143,0.295210045027591,0.346907294786226,0.00436852566025579,1.84241219365405e-05,0.00508637250788365,0.0159771372072844,0.000200008727452036,3.63120157730761e-07,0.00196193851272124,0.0124006125046995,0.000174223032243134
5,4,502166.750925958,996885.15337456,514647.464572859,176294.84188999,0.180235062098171,1.34602151252495,1.12130142425627,0.114095317541571,0.0412308093297947,0.553346902053753,0.413096724230256,0.01128998215002,0.0129125220016501,0.306206772796184,0.335061281947495,0.019221751892662,0.00702907013256295,0.372782264037551,0.418793782874846,0.0101821100982693,6.00863172075335e-05,0.00561970378962417,0.00635432091866543,8.54635190365579e-05,1.23597829405633e-06,0.00356047225071331,0.0213205208708377,0.000505927141831474,0.0076052565249513,0.25899121896079,0.217994905300532,0.0026446735072085,0,9.65927753870761e-05,0.0015041809609967,8.47838427997229e-05,0.249074042382632,0.84662543918895,0.535427141359895,0.158110009693399,0.0481872861991224,0.750301963332001,0.565650286841452,0.0132044076455483,0.00773917208368811,0.444095190535817,0.513414148314683,0.0115885326136173,6.58458172861511e-05,0.0102145836363565,0.031637093748139,0.000707930796316112,1.30003126783525e-06,0.00395051387772632,0.0246204204118171,0.000617714638562908
6,5,502166.625004352,996884.743289661,514647.208355683,176294.764395147,0.252226419837394,1.41236927435258,1.10071100048589,0.157670160326449,0.0706901672470513,0.635966305161102,0.458351033407428,0.0192048842703382,0.0207402368323755,0.321247199059124,0.333825207029183,0.0305928402574472,0.0142393020108044,0.481268644794008,0.524590676658916,0.0203334869052145,0.000153660550323294,0.00913932516112653,0.0101012034716579,0.000214668729566057,3.18410369778684e-06,0.0058231065456143,0.0339063606587394,0.0012420795989418,0.0169426769568287,0.39069271410351,0.327045540335446,0.006078198511273,0,0.000203769734059531,0.00311329477991315,0.000268534523931356,0.374995647538475,1.25671033891112,0.791644316827171,0.235604853123161,0.0859384593907567,0.922170532279272,0.676373326536514,0.0233804078390136,0.0160905314779488,0.600923333220148,0.680734782775587,0.0239614447002512,0.000171659459680668,0.0171388678382269,0.0522080600774418,0.00182615325253528,3.39513783364233e-06,0.00664592873174669,0.0407363633522725,0.00159614236874529
7,6,502166.474320434,996884.265854759,514646.912523277,176294.673514008,0.330229253307386,1.52363129920247,1.1197100497954,0.203454113102791,0.108246842444279,0.717559509600913,0.497357161627066,0.0291330014445802,0.0299293951659847,0.339380037728353,0.333280795307718,0.0436593291820119,0.024742037679897,0.585850491933949,0.616851011579274,0.0347832558979515,0.000322620205793576,0.0133244972003823,0.0143542231789293,0.000442251791855303,6.73488226021886e-06,0.008537149272129,0.048202198009172,0.00250210669433142,0.0322026823199827,0.545493854443517,0.452207553654301,0.0118427453317164,0,0.000368401162898869,0.00551372999756019,0.000669189080477763,0.525679566005583,1.73414524054461,1.08747672314942,0.326485992525716,0.136815218888738,1.10525697067107,0.787106669341608,0.0369095638268774,0.0287056986434744,0.765876932942718,0.847379208704695,0.0424629864140353,0.000367539471168088,0.0257862806749961,0.0770789898151867,0.00386563616581396,7.28208151556769e-06,0.0100247531679146,0.0602983191274559,0.00338443249694135
8,7,502166.297001054,996883.719573301,514646.57699388,176294.56877015,0.414587173252786,1.67125187428329,1.1696489436309,0.251389966346266,0.153767900310511,0.802924417271064,0.53421864448964,0.0409425248197111,0.0403062859176631,0.363309032805306,0.337236283415746,0.0580478196003969,0.0387925765332335,0.689153129895624,0.69858675323253,0.0536281868287412,0.000592449990531013,0.0180847867127236,0.0189418540117152,0.000796195034306003,1.24597958146514e-05,0.0116504104363335,0.0636335852760727,0.00440697122377417,0.054940099772117,0.723452800393784,0.591951976681154,0.0206025129203969,0,0.000600247104421324,0.00878807968625028,0.00141567362781757,0.702998945572656,2.28042669890255,1.42300612042401,0.43122985040141,0.201888240623909,1.30458741230963,0.901342870717244,0.0539519652165432,0.046217245778298,0.941278379504322,1.01477802266012,0.0678400992382038,0.000688469329996885,0.0361134309784342,0.105721139278248,0.0071536471859711,1.36644385090669e-05,0.0140742082439868,0.0829130342750356,0.00627353690205164
9,8,502166.090399034,996883.100306053,514646.200002841,176294.44921425,0.506249378590198,1.85089364096542,1.24527227988975,0.301849303742825,0.207249647240288,0.895465206456533,0.571835748275581,0.0545326671310444,0.0518067731263766,0.394071607552273,0.347210478326584,0.0735585445192485,0.0565641984171736,0.794344356852367,0.773614742047255,0.0768200444096528,0.000988190666483913,0.0233668910921702,0.0237452087489639,0.00130097454573523,2.09368374694817e-05,0.0151325250735092,0.0798017285188773,0.00704933943599441,0.0867218409487675,0.925511604606548,0.745526595614736,0.0330144596902526,0,0.000908113723330704,0.0129903778426588,0.00266041630778589,0.909600965826757,2.89969394632215,1.79999715926441,0.550785749782539,0.282346111065592,1.52440015267837,1.02188995174986,0.0746809338119142,0.0691987030445913,1.13032854512609,1.18562444929821,0.100696967708551,0.00117156315636055,0.0481250561453082,0.137758818335254,0.0120185855531368,2.32926279218676e-05,0.0187994882883186,0.10830025561879,0.0105570983378101
10,9,502165.851223329,996882.401794901,514645.778448562,176294.313519785,0.606523192442682,2.06104630006813,1.34366525504636,0.355453976698373,0.268875355205729,0.99778708327599,0.612334612026139,0.0698522546358357,0.0644602833907808,0.432029410217586,0.363661614056469,0.0901416764304487,0.0782051100578101,0.904554482553759,0.845710799915668,0.104261371948109,0.00153398900014711,0.0291529005912384,0.0286950194946535,0.00197714163756972,3.2739910252574e-05,0.0189744179393415,0.0964736933130551,0.0104952728284965,0.129146000683154,1.15336014764804,0.912854200603811,0.0497253135308622,0,0.00130035676707619,0.0181562430327545,0.00457320735279687,1.14877667069056,3.59820509906116,2.22155143748891,0.686480215062492,0.379577434773511,1.76857939949651,1.15115447297702,0.0993078715092356,0.0982157600835813,1.33654998927893,1.36307009540906,0.141576690424434,0.00185553300238969,0.0618773404858334,0.172983315556976,0.0187828784276806,3.69533220512483e-05,0.0242252585647951,0.136305189391822,0.0165250467231592
