"","DATE","AGEGR","DEATHS","CASES","HOSPITALIZATIONS","NEGATIVE_TESTS","HOSPITAL_DEATHS","NON_HOSPITAL_DEATHS","NON_HOSPITAL_PREDEATH_DIAGNOSIS","PRE_SYMPTOMATIC_DIAGNOSIS","SYMPTOMS_POST_DIAGNOSIS","MILD_SYMPTOMATIC_DIAGNOSIS","MILD_SYMPTOMS_PRE_DIAGNOSIS","SEVERE_SYMPTOMATIC_DIAGNOSIS","SEVERE_SYMPTOMS_PRE_DIAGNOSIS","SEVERE_SYMPTOMS_PRE_DIAGNOSIS_EARLY","SEVERE_SYMPTOMS_PRE_DIAGNOSIS_LATE","SEVERE_SYMPTOMATIC_DIAGNOSIS_EARLY","SEVERE_SYMPTOMATIC_DIAGNOSIS_LATE","PRE_DEATH_HOSPITALIZATION","NO_DEATH_HOSPITALIZATION","CASES_NO_DEATH_NO_HOSPITALIZATION"
"1",2020-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2020-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2020-01-01,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2020-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2020-01-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2020-01-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2020-01-02,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2020-01-03,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"11",2020-01-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2020-01-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2020-01-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2020-01-04,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2020-01-04,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2020-01-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2020-01-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2020-01-05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2020-01-06,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
