bstar,beta_d,first_inf_day,sd_1,sd_2,sd_3,sd_4,delta_IM_1,delta_IM_2,delta_IM_3,delta_IM_4,delta_IS_1,delta_IS_2,delta_IS_3,delta_IS_4,rho_A_1,rho_A_2,rho_A_3,rho_A_4,m_1,m_2,m_3,m_4
0.018648722206708,0.513155882479623,17.8049431620166,0.648636913090013,0.380293129687197,0.413062531570904,0.587385531223845,0.239311035256833,0.0724585530813783,0.0742802981287241,0.114729473507032,0.117617786349729,0.370383948064409,0.198675758042373,0.34581668835599,0.290614357462618,0.189585747232195,0.226690410857555,0.215298515511677,0.993065283058211,0.965115706044016,0.94254453853704,0.816700562897604
0.0173928759736009,0.393763263488654,8.54223699960858,0.64807464715559,0.30816173509229,0.483462861587759,0.538222711521666,0.212463645497337,0.0910203566774726,0.0986731849145144,0.228490759711713,0.173938309797086,0.119259464228526,0.145889907469973,0.305943798949011,0.265807018394116,0.263601547165308,0.188913942826912,0.205100444646087,0.993896354814991,0.961772959687514,0.871760654090904,0.637073115217499
0.0201281510444824,0.598689063382335,22.191966728773,0.643237724690698,0.57918763399357,0.212356320000254,0.662633863149676,0.130441126786172,0.216957813035697,0.0666341895703226,0.116711404873058,0.109567339043133,0.227849132474512,0.289576179324649,0.367251704749651,0.260122599382885,0.255338832456619,0.204775903641712,0.225193473009858,0.995447053488344,0.960494295399403,0.917507441702764,0.66956880962709
0.0175375797774177,0.663377660221886,16.351416378282,0.59889892663341,0.460149827203713,0.228247578651644,0.466733018308878,0.22261303178966,0.0976275125984103,0.075028907135129,0.103834562562406,0.296281361347064,0.329323446704075,0.241890971502289,0.287460131128319,0.242950498661958,0.153575599542819,0.212808046583086,0.274962909927126,0.9920956747327,0.969565988479881,0.906380766823422,0.723231014974881
0.0173251287732273,0.825897597288713,18.7281765495427,0.570397310296539,0.439824329374824,0.198340071376879,0.665193968708627,0.14889465328306,0.171006224444136,0.126595955342054,0.0525260731577873,0.310096790152602,0.357891989708878,0.205031935079023,0.237153893103823,0.184481976879761,0.153106796345674,0.230937459028792,0.156912999122869,0.988567042406648,0.967102714192588,0.948563933316618,0.641105770778377
0.0168915880890563,0.899295042920858,17.7821760019287,0.515399223181885,0.402868880482856,0.374970672139898,0.665825086738914,0.116706227418035,0.0796112061012536,0.195089840097353,0.0823539074510336,0.306872116518207,0.397174051194452,0.18275799062103,0.230010683857836,0.290011230146047,0.217589976266026,0.165857361175586,0.235012581688352,0.994918344438076,0.966051703698467,0.953664963869378,0.70249943878036
0.0163236710627098,0.89504663645057,16.5960804102942,0.358138500072528,0.482805100770201,0.278939872107003,0.257204191945493,0.0751757462508977,0.0513199194334447,0.110361740831286,0.234185631992295,0.103658145922236,0.267728905798867,0.177988695399836,0.172486902796663,0.207270219514612,0.210939809738193,0.282824941969011,0.213350709364749,0.994728542219847,0.960877371727256,0.935368875742424,0.749581923771184
0.0187829198117834,0.600926585181151,15.8595866849646,0.386405395762995,0.43146532732062,0.461865264875814,0.349321688106284,0.122699359385297,0.19564105309546,0.0574280017055571,0.120811918983236,0.361570530198514,0.279418003209867,0.219886142923497,0.229412414343096,0.186997190094553,0.240508328110445,0.186846642976161,0.173384413635358,0.995644801495597,0.971237113364041,0.956557442878839,0.815322263869457
0.0169347123627085,0.525399723940063,10.0156971812248,0.545464961789548,0.41924610841088,0.235810533945914,0.61643446595408,0.206538922712207,0.0768390502315015,0.162491281563416,0.15151873906143,0.154406313016079,0.36141760146711,0.384709251532331,0.27382892461028,0.276983887015376,0.200651810271665,0.211672397749498,0.295212178362999,0.992815447291359,0.964526830341201,0.902675278054085,0.70140443766024
0.0191636434034444,0.401266838749871,13.9229464526288,0.556814269314054,0.514658934588078,0.153250959818251,0.662149987660814,0.158135845558718,0.186321531748399,0.0660390310920775,0.0899996249005199,0.252024398860522,0.311790719837882,0.269161083665676,0.19585784797091,0.22295893470291,0.23479549944168,0.215248013322707,0.282598376646638,0.994778347294778,0.973467980886344,0.943139599137939,0.796864694920368
0.0180634492833633,0.749909448041581,19.3054053597152,0.316445203090552,0.515097730001435,0.537292993173469,0.537499815970659,0.248037693044171,0.183117330353707,0.17104285932146,0.123346879053861,0.191005981364287,0.350208005984314,0.352530136960559,0.214029227104038,0.271805887261871,0.218301808589604,0.2491431604838,0.229435446881689,0.993052281560376,0.96313021735521,0.885164343814831,0.620208846002351
0.0188604185252916,0.443670682550874,17.3663615495898,0.679390855599195,0.447740763868205,0.245272069401108,0.643641126842704,0.187228688132018,0.0827821165323258,0.134512630011886,0.118737027933821,0.226106970524415,0.221436108183116,0.140041681518778,0.106494711525738,0.294112092826981,0.160718267667107,0.195105915516615,0.235327946220059,0.988076443655416,0.976825572693488,0.927762408878189,0.698871948935557
0.0154749756294768,0.852158527763095,8.39731596410275,0.0638248575036414,0.393659523036331,0.675909632642288,0.635464758926537,0.238102097064257,0.136049861926585,0.203312856191769,0.232395207788795,0.346861524088308,0.39604939033743,0.117165223159827,0.13564806508366,0.152317325491458,0.230373539461289,0.196521544328425,0.159389735595323,0.991998427307233,0.967027865491109,0.884110990001354,0.624627261660062
