bstar,beta_d,first_inf_day,sd_1,sd_2,sd_3,sd_4,delta_IM_1,delta_IM_2,delta_IM_3,delta_IM_4,delta_IS_1,delta_IS_2,delta_IS_3,delta_IS_4,rho_A_1,rho_A_2,rho_A_3,rho_A_4,m_1,m_2,m_3,m_4
0.021082508,0.291920569,18.19563902,0.315278603,0.431571541,0.443664863,0.391764804,0.024890426,0.103741115,0.21576581,0.061985739,0.383543887,0.24875559,0.248405615,0.369593758,0.173261564,0.29541535,0.203468206,0.243406287,0.989992297,0.969368998,0.910095208,0.722092338
0.018671652,0.845500869,16.06232701,0.62597647,0.308253973,0.35507028,0.510858531,0.064796412,0.132284069,0.115265512,0.028701015,0.388424524,0.123947846,0.366747283,0.2043875,0.15962397,0.220827307,0.234448751,0.239754922,0.991396842,0.983084403,0.903131118,0.849148288
0.021476238,0.386394358,24.67725756,0.599104843,0.317503219,0.489372057,0.434283935,0.063772581,0.160770066,0.150287447,0.096755798,0.257359878,0.316852787,0.27440432,0.262031599,0.231446331,0.178357969,0.277060229,0.209070252,0.991130746,0.973358777,0.888015528,0.695832532
0.020514592,0.583314381,23.47099281,0.48334331,0.305502874,0.552362009,0.576820698,0.033679299,0.095850599,0.036230922,0.182893789,0.182806515,0.386674112,0.352127174,0.199379389,0.17572571,0.222328705,0.179028445,0.235019155,0.990385846,0.985906503,0.954556966,0.712504083
0.019091189,0.41541223,11.53344067,0.410100967,0.301024743,0.648847598,0.300857355,0.03574034,0.174736259,0.12380027,0.0375406,0.213059204,0.265668126,0.1095856,0.172584093,0.159510374,0.261393894,0.286425696,0.224160007,0.991196862,0.965309227,0.896921883,0.81794667
0.019414582,0.71866758,17.27204545,0.599826194,0.338024867,0.568790537,0.543309121,0.037877528,0.125921379,0.129023906,0.02922474,0.302433191,0.29618821,0.194373218,0.377337377,0.239396388,0.229941977,0.207277209,0.202063049,0.989480982,0.977172555,0.909192483,0.681159755
0.020971266,0.713541468,24.13983994,0.379022876,0.399682576,0.356153168,0.666710812,0.025546251,0.060431865,0.111539812,0.22691056,0.179065771,0.385992447,0.29581054,0.309800171,0.201720763,0.27708616,0.207696067,0.255324465,0.994333443,0.985839828,0.891894318,0.796589424
0.01900421,0.514411991,11.31499344,0.338960385,0.304591275,0.48272166,0.387713331,0.019500524,0.197815754,0.067292558,0.061041379,0.155410524,0.102896185,0.247004264,0.290154345,0.156469036,0.254410062,0.25837162,0.165918185,0.99492844,0.977780988,0.940961544,0.705198728
0.021165376,0.364280337,22.77417861,0.435031848,0.320495245,0.456607514,0.430601782,0.045271472,0.242793217,0.167791324,0.157124111,0.194183111,0.357179144,0.361748842,0.302288854,0.160446815,0.280993382,0.165345047,0.190246836,0.995673364,0.965802064,0.928188151,0.848506609
0.020270787,0.847471425,23.86702173,0.308508827,0.414415922,0.501607573,0.396613503,0.034762205,0.101265839,0.201216822,0.225319825,0.173780533,0.14136765,0.2367786,0.308329172,0.284940354,0.299287123,0.204965764,0.181007471,0.992515351,0.974567635,0.892207645,0.660395077
0.021256819,0.702721429,24.98218279,0.652188704,0.386793622,0.545489636,0.321954627,0.051914865,0.237093735,0.221412953,0.151777975,0.309232991,0.327981386,0.282444791,0.241801248,0.286158504,0.275765479,0.279568189,0.254426985,0.991601599,0.991817226,0.928208951,0.797754419
0.019144074,0.378631887,13.11428453,0.318132715,0.342434656,0.592525268,0.552110564,0.015472807,0.044494219,0.170632352,0.078294333,0.125690433,0.11143858,0.376849263,0.279752046,0.209675645,0.192485765,0.296064831,0.22837546,0.98819969,0.964698662,0.920961252,0.80297769
0.020094756,0.408677155,21.73171037,0.442275468,0.31756347,0.496104324,0.495446565,0.084825015,0.180680007,0.175226886,0.179888805,0.274792508,0.284130448,0.283127614,0.388682182,0.218413993,0.154847885,0.25647409,0.246773264,0.990287845,0.983996661,0.890739596,0.704601536
0.021146362,0.457715694,23.47956361,0.539300299,0.382212598,0.343866659,0.421028848,0.050333484,0.11163514,0.12156096,0.054983485,0.366977573,0.247020523,0.284843482,0.28008377,0.1576294,0.176952204,0.211998709,0.160226087,0.989044318,0.969147767,0.959643894,0.735887402
0.021129764,0.3688308,21.33311612,0.584472495,0.330915914,0.637566066,0.385635965,0.059304381,0.130919176,0.21810567,0.12420011,0.205508393,0.192700848,0.330407842,0.375078848,0.151100833,0.153613759,0.19561186,0.229467337,0.989466951,0.970938013,0.959402615,0.687357196
0.018689886,0.841047171,20.30717569,0.475351305,0.300217407,0.336825782,0.674997897,0.027984602,0.134986519,0.177714033,0.12435361,0.218992858,0.252251792,0.346157087,0.227950669,0.157088276,0.220804279,0.166858427,0.297164193,0.995983635,0.994974568,0.880748588,0.851141096
0.020911612,0.477428554,24.95011071,0.445228775,0.339765101,0.533335932,0.458860836,0.060714167,0.129318475,0.164476581,0.173414736,0.235020567,0.207826786,0.349240765,0.100462086,0.171821671,0.160550941,0.176904805,0.235920939,0.988999891,0.982822954,0.870420777,0.685702628
0.019931991,0.897783272,23.32724187,0.441222708,0.333644595,0.59856847,0.602752107,0.05075667,0.098909086,0.216719885,0.160938052,0.272233785,0.234507286,0.218788394,0.163740728,0.191774476,0.15707457,0.237664713,0.259924657,0.995350836,0.991651521,0.935365255,0.684448536
0.02001579,0.441920236,15.67039819,0.612256712,0.310862088,0.520566804,0.416811307,0.060021437,0.22429778,0.175064883,0.07359423,0.240815453,0.352801593,0.317100976,0.11934482,0.159549812,0.191089981,0.180828225,0.247594441,0.990049196,0.968020262,0.918239698,0.650473272
