bstar,beta_d,first_inf_day,sd_1,sd_2,sd_3,sd_4,delta_IM_1,delta_IM_2,delta_IM_3,delta_IM_4,delta_IS_1,delta_IS_2,delta_IS_3,delta_IS_4,rho_A_1,rho_A_2,rho_A_3,rho_A_4,m_1,m_2,m_3,m_4
0.0217849092883989,0.26033062657807,22.5419002897106,0.639236535318196,0.437887100316584,0.523599599394947,0.693450982123613,0.0610803120210767,0.163229038901627,0.18246075514704,0.242163404058665,0.331164190592244,0.15471151326783,0.357210108614527,0.119934312626719,0.154170194501057,0.287485316104721,0.269602046487853,0.236049112456385,0.990043106982484,0.989948668401921,0.928301682171877,0.681439469165634
0.0208685809886083,0.501182545989286,19.7916882364079,0.350873655360192,0.623858790006488,0.496690642274916,0.47658523041755,0.0149589192681015,0.180449671708047,0.10253199217841,0.043879933860153,0.334715255885385,0.204890252207406,0.234152518049814,0.167380781634711,0.153310234635137,0.292936785123311,0.242991023068316,0.183985357184429,0.99115949908644,0.990776303373277,0.881559940944426,0.821542343187612
0.0200303476955742,0.427775637072045,23.7274786089547,0.699395892955363,0.404216655157506,0.632022207044065,0.440423553623259,0.0698970481008291,0.0841163195297122,0.14036259226501,0.195533623956144,0.325314544606954,0.140350212738849,0.263146402756684,0.261609871732071,0.297210162039846,0.199357568845153,0.270639655343257,0.20721374026034,0.994952858684584,0.993648999499856,0.939107628639322,0.780268745094072
0.0212229890236631,0.301288389612455,24.9098716080189,0.51551163168624,0.47477856753394,0.480288345459849,0.475020887609571,0.110937200281769,0.169826215226203,0.242305114660412,0.248045425228775,0.385237263166346,0.111749081453308,0.320851385686547,0.170517622563057,0.266704405273776,0.221983628009912,0.232091523497365,0.288994522579014,0.990439172191545,0.987956983810291,0.938233093719464,0.622788750512991
0.0200546315871179,0.342440155136865,14.5185655313544,0.641514093242586,0.373011447675526,0.51363431038335,0.682314685918391,0.0224498651921749,0.219535175859928,0.102736197914928,0.196424013804644,0.34881233277265,0.344291001139209,0.310378282191232,0.345054548722692,0.215568059741054,0.268679898942355,0.285810210427735,0.177092298609205,0.991707430813462,0.992096371118678,0.939580644895323,0.634478822180536
0.0206832298822701,0.313844955491368,21.1327898688614,0.48397130984813,0.466813569609076,0.52241639746353,0.607063356600702,0.0657433969900012,0.18758720189333,0.149838613141328,0.204877890087664,0.101641729008406,0.242337166331708,0.317516991682351,0.347450283006765,0.229402516339906,0.183137809066102,0.299220653157681,0.15140787694836,0.994977991277352,0.976976748468587,0.901009355918504,0.788985302560031
0.0211527829011902,0.305665485863574,24.5324544068426,0.64345962908119,0.438072463311255,0.397704928182065,0.437377575412393,0.0792745286971331,0.100378163978457,0.163640452269465,0.137920054327697,0.16189599360805,0.366258423728868,0.386825483082794,0.101333263306879,0.290292877529282,0.157820061757229,0.16546950355405,0.180944560887292,0.995099230993539,0.967840621698415,0.894601064028684,0.84844944964163
0.0203850954212248,0.465924427250866,22.8293527932838,0.454153417237103,0.467138432431966,0.695887925475836,0.447461346723139,0.0464777269400656,0.100333549790084,0.199044490605593,0.118000851590186,0.181094373879023,0.336046351352707,0.304580803075805,0.198695496516302,0.16781972378958,0.187828078027815,0.253728079923894,0.294446369970683,0.995869051523507,0.971006724814652,0.958874983366113,0.654780492656864
0.0209851663932204,0.386241095210426,22.844264023006,0.50289096320048,0.4820680658333,0.344064457248896,0.625374319776893,0.031952619869262,0.0861744819954038,0.0150950656272471,0.0301933535002172,0.383818295947276,0.310236213472672,0.298340490204282,0.217211287841201,0.2479732656735,0.196615817514248,0.27535952499602,0.15716843866976,0.994135237803683,0.962621570583433,0.88548052452039,0.705252404736821
0.0201419528294355,0.562938271008898,24.5952781373635,0.523454884346575,0.480060781724751,0.591737545654178,0.699915392138064,0.0766894023492932,0.108346395976841,0.163358927667141,0.247295677401125,0.304592445539311,0.109520468558185,0.391577987885103,0.175457443622872,0.231911172671244,0.188630651507992,0.246314216789324,0.281972635374404,0.993951903169975,0.981726476267213,0.958971457604785,0.837815543583129
0.0202173060784116,0.272129059222061,24.2028913013637,0.665494179725647,0.400894572027028,0.422795437183231,0.676249057520181,0.134094114731997,0.0514012033864856,0.121962588746101,0.207940931487828,0.377502714493312,0.148187078326009,0.185026801447384,0.330814187042415,0.271817962441128,0.172939554182813,0.20348223389592,0.296504503197502,0.991808786723763,0.991736082278658,0.932270292376634,0.640360563939903
0.0200037993397564,0.388327925279737,19.0681483694352,0.325648084096611,0.465033087972552,0.325833978876472,0.306967488117516,0.0514005117118359,0.216517538782209,0.166766450870782,0.0288146004453301,0.159569865302183,0.395997651014477,0.373556751967408,0.194469329481944,0.208917862374801,0.193879540159833,0.155925274430774,0.152963798772544,0.992948731770739,0.964586203587241,0.922187525723129,0.796301166065969
0.0222410213761032,0.321239068708383,24.2685385681689,0.612232832424343,0.483949354756623,0.439185600355267,0.636307184398174,0.0262780220806599,0.238776894118637,0.139279150422663,0.0208497459068894,0.145432071923278,0.157483756286092,0.227824707399122,0.319833858404309,0.267818826413713,0.18398671913892,0.201696908811573,0.155920218257233,0.994993120282888,0.974218278453918,0.928918215511367,0.708949360069819
0.0205103744147345,0.666872844437603,22.3514487687498,0.46195124136284,0.599498017132282,0.378389000799507,0.300463607534766,0.0166273584403098,0.210844881068915,0.055823411680758,0.166695594731718,0.109099822118878,0.305447385902517,0.217681084573269,0.133199252118357,0.283143598982133,0.235114291962236,0.230170696356799,0.220453981810715,0.990556638102978,0.962607368412428,0.885272253714502,0.728550338482019
0.0201126040937379,0.264094505284447,20.7923275190406,0.698479425162077,0.407833156734705,0.676782572641969,0.346157241519541,0.0635898318700492,0.102266553286463,0.0327123273536563,0.173080289643258,0.259589890553616,0.370307131693699,0.242485247598961,0.127213335596025,0.182723464036826,0.158043103991076,0.177589362859726,0.17927133589983,0.991655539521948,0.987578982928535,0.89276531309355,0.769630311876535
