bstar,beta_d,first_inf_day,sd_1,sd_2,sd_3,sd_4,delta_IM_1,delta_IM_2,delta_IM_3,delta_IM_4,delta_IS_1,delta_IS_2,delta_IS_3,delta_IS_4,rho_A_1,rho_A_2,rho_A_3,rho_A_4,m_1,m_2,m_3,m_4
0.0163531212427188,0.504677703115158,17.0887972484343,0.643020322022494,0.184952110424638,0.510015978291631,0.277536173781846,0.135460953274742,0.109930640505627,0.106099347351119,0.131613787589595,0.279814410861582,0.246542836818844,0.197312887827866,0.258169256732799,0.225948072527535,0.184815437102225,0.249946963554248,0.152914118953049,0.99437909341976,0.961767569499789,0.921860833209939,0.687825603357051
0.0179271012626123,0.658148188341875,18.0414273659699,0.624525608005933,0.383215689205099,0.285680032521486,0.23266166934045,0.0502460602670908,0.226341829588637,0.203841695934534,0.229135079449043,0.384397580032237,0.105906515661627,0.153149061626755,0.254934657039121,0.173621927155182,0.24849144613836,0.230087220808491,0.203265279263724,0.99099504936859,0.967141233913135,0.888510124529712,0.718449739511125
0.0156820681632962,0.636275097134057,9.89161175070331,0.519721546943765,0.275715993146878,0.41588946681004,0.229766742221545,0.067271005641669,0.150308519089594,0.0883787736762315,0.216928058583289,0.261713437060826,0.356953000579961,0.115753309661523,0.106038902862929,0.265864107047673,0.271291237010155,0.21038607271621,0.25224103712244,0.989483003897592,0.968375504539581,0.877159003741108,0.63279683544999
0.0171742179745343,0.385491397057194,14.6354637104087,0.51652514525922,0.292604856239632,0.0709690867224708,0.631988621898927,0.156489701289684,0.15638688839972,0.0735120735131204,0.133332725940272,0.138452983135358,0.362983346078545,0.176669628103264,0.280520070926286,0.162777355627622,0.277214857481886,0.222002676303964,0.172796198807191,0.991136732047424,0.967922671784181,0.877099400069565,0.624709091212135
0.0165026509482414,0.81124708034331,17.7078587375581,0.420465062162839,0.311387043003924,0.613624405267183,0.387711303681135,0.0726916897576302,0.244170213444158,0.0598074027337134,0.0991559099871665,0.348124375985935,0.23706801366061,0.23749208599329,0.135843882407062,0.1506828269572,0.166652358253486,0.155721019569319,0.194493910402525,0.994814072163776,0.973744241184322,0.883308036597446,0.769607600818854
0.0153203056135681,0.682731113710906,7.0542365796864,0.522422772739083,0.25671764848521,0.299386638763826,0.340063550323248,0.0616442042868584,0.185437810514122,0.0919968040660024,0.114332546852529,0.18894705506973,0.367663962440565,0.339160588872619,0.239715579920448,0.26933544074418,0.285878406988923,0.163320611603558,0.239793951774482,0.990810673443601,0.966783159787301,0.897515901660081,0.714709284952842
0.0145339543989394,0.787540058512241,7.63586667273194,0.339559034490958,0.284720787452534,0.505127711337991,0.205195648153312,0.0808144835755229,0.0703760899137706,0.132961149513721,0.130825135065243,0.28426432707347,0.295893888454884,0.241231413930655,0.295631199050695,0.190613158454653,0.25525691161165,0.274098676862195,0.158195194636937,0.993862446611747,0.966224397205515,0.923513733744621,0.655520687291864
0.0190608641854487,0.508923923026305,24.549288734328,0.661002683371771,0.394717469275929,0.372166234184988,0.08288164177211,0.0509407185483724,0.068785448698327,0.099627544451505,0.136139795277268,0.157666016928852,0.13477294088807,0.101280446629971,0.337604723800905,0.277777391136624,0.283431765984278,0.254092610743828,0.162579884519801,0.990845558915287,0.971908095283434,0.951293686539866,0.757019297806546
0.0164379993837792,0.844919465016574,15.9120355681516,0.39079412354622,0.613836975803133,0.400754834199324,0.121398600807879,0.0544694197829813,0.104315511696041,0.111680396692827,0.107246980071068,0.363621812337078,0.138298258581199,0.193188956403174,0.195674444525503,0.1809463087935,0.233123546722345,0.186354047956411,0.291112318227533,0.992771499462426,0.968175360083114,0.930160871800035,0.686481355403084
0.0173981536878273,0.45254950952949,16.8541786717251,0.609295491862576,0.549362470011692,0.0711297151283361,0.471272320835851,0.0921859172638506,0.0601453213952482,0.155642671091482,0.239032907132059,0.358103059581481,0.381014018692076,0.267876564059407,0.221218267129734,0.178859998541884,0.257206803385634,0.151800607529003,0.229309425910469,0.994754686258733,0.962504138528602,0.872182351201773,0.627762569002807
